"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","6","1312773256","218795542","75.631"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned","12","176953406","14746117","10.195"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned","6","91280142","15213357","5.259"
"fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","6","78211663","13035277","4.506"
"fft_rtc_fwd_len_1024_factors_8_8_4_4_wgs_128_tpt_128_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg","6","76507344","12751224","4.408"
"twiddle_gen_radices_dp","2","25600","12800","0.001"
"twiddle_gen_large_dp","1","4640","4640","0.0"
"Total","39","1735756051","44506565","100.0"
