"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","4","875183809","218795952","75.624"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned","8","118009180","14751147","10.197"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned","4","60871555","15217888","5.26"
"fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","4","52157466","13039366","4.507"
"fft_rtc_fwd_len_1024_factors_8_8_4_4_wgs_128_tpt_128_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg","4","51030909","12757727","4.41"
"twiddle_gen_radices_dp","2","26720","13360","0.002"
"twiddle_gen_large_dp","1","5600","5600","0.0"
"Total","27","1157285239","42862416","100.0"
