"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","6","1312773684","218795614","75.626"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned","12","177035747","14752978","10.199"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned","6","91312558","15218759","5.26"
"fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","6","78228439","13038073","4.507"
"fft_rtc_fwd_len_1024_factors_8_8_4_4_wgs_128_tpt_128_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg","6","76496128","12749354","4.407"
"twiddle_gen_radices_dp","2","26880","13440","0.002"
"twiddle_gen_large_dp","1","5760","5760","0.0"
"Total","39","1735879196","44509722","100.0"
