"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","6","1312776776","218796129","75.632"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned","12","176941413","14745117","10.194"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned","6","91274384","15212397","5.259"
"fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","6","78200307","13033384","4.505"
"fft_rtc_fwd_len_1024_factors_8_8_4_4_wgs_128_tpt_128_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg","6","76506708","12751118","4.408"
"twiddle_gen_radices_dp","2","26880","13440","0.002"
"twiddle_gen_large_dp","1","5760","5760","0.0"
"Total","39","1735732228","44505954","100.0"
