type,size,Optimized,Original,speedup
d2z,128k,61.678,59.794,0.969
d2z,256k,132.416,136.500,1.031
d2z,512k,300.734,299.619,0.996
d2z,64k,28.924,31.296,1.082
z2d,128k,61.147,59.409,0.972
z2d,256k,131.656,135.682,1.031
z2d,512k,301.512,301.103,0.999
z2d,64k,28.809,31.073,1.079
z2z,128k,94.529,98.452,1.042
z2z,256k,214.628,212.951,0.992
z2z,512k,700.401,775.661,1.107
z2z,64k,42.856,41.055,0.958
