length 256," batch 1048576"
256," fft_test_len_256_factors_2_2_2_2_4_4_wgs_64_tpt_64_dirReg"," 5.43ms "
256," fft_test_len_256_factors_2_2_4_2_2_4_wgs_64_tpt_64_halfLds_dirReg"," 5.43ms "
256," fft_test_len_256_factors_2_4_2_2_2_4_wgs_64_tpt_64_dirReg"," 5.43ms "
256," fft_test_len_256_factors_4_2_2_2_2_4_wgs_64_tpt_64"," 5.43ms "
256," fft_test_len_256_factors_4_4_2_2_2_2_wgs_64_tpt_64_halfLds_dirReg"," 5.43ms "
256," fft_test_len_256_factors_8_4_2_2_2_wgs_64_tpt_64"," 5.43ms "
256," fft_test_len_256_factors_2_4_4_4_2_wgs_64_tpt_64_halfLds_dirReg"," 5.43ms "
256," fft_test_len_256_factors_4_2_2_4_4_wgs_64_tpt_64"," 5.43ms "
256," fft_test_len_256_factors_4_4_4_2_2_wgs_64_tpt_64_dirReg"," 5.43ms "
256," fft_test_len_256_factors_8_2_2_8_wgs_64_tpt_64"," 5.43ms "
256," fft_test_len_256_factors_2_4_8_4_wgs_64_tpt_64_halfLds_dirReg"," 5.43ms "
256," fft_test_len_256_factors_4_2_8_4_wgs_64_tpt_64_dirReg"," 5.43ms "
256," fft_test_len_256_factors_4_4_8_2_wgs_64_tpt_64_halfLds_dirReg"," 5.43ms "
256," fft_test_len_256_factors_2_2_2_2_2_2_2_2_wgs_64_tpt_64_halfLds_dirReg"," 5.44ms "
256," fft_test_len_256_factors_2_2_2_2_4_2_2_wgs_64_tpt_64_halfLds_dirReg"," 5.44ms "
256," fft_test_len_256_factors_2_2_4_2_2_2_2_wgs_64_tpt_64"," 5.44ms "
256," fft_test_len_256_factors_2_2_2_2_4_4_wgs_64_tpt_64"," 5.44ms "
256," fft_test_len_256_factors_2_2_2_4_8_wgs_64_tpt_64"," 5.44ms "
256," fft_test_len_256_factors_4_2_2_4_4_wgs_64_tpt_64_halfLds_dirReg"," 5.44ms "
256," fft_test_len_256_factors_4_4_2_2_4_wgs_64_tpt_64_dirReg"," 5.44ms "
256," fft_test_len_256_factors_4_4_4_2_2_wgs_64_tpt_64_halfLds_dirReg"," 5.44ms "
256," fft_test_len_256_factors_2_4_4_8_wgs_64_tpt_64"," 5.44ms "
256," fft_test_len_256_factors_2_2_2_2_2_2_2_2_wgs_64_tpt_64_dirReg"," 5.45ms "
256," fft_test_len_256_factors_2_2_2_2_4_2_2_wgs_64_tpt_64_dirReg"," 5.45ms "
256," fft_test_len_256_factors_2_4_2_2_2_2_2_wgs_64_tpt_64"," 5.45ms "
256," fft_test_len_256_factors_2_2_2_4_2_4_wgs_64_tpt_64"," 5.45ms "
256," fft_test_len_256_factors_2_2_2_4_4_2_wgs_64_tpt_64_halfLds_dirReg"," 5.45ms "
256," fft_test_len_256_factors_2_4_2_2_4_2_wgs_64_tpt_64_halfLds_dirReg"," 5.45ms "
256," fft_test_len_256_factors_2_4_4_2_2_2_wgs_64_tpt_64_dirReg"," 5.45ms "
256," fft_test_len_256_factors_4_4_2_2_2_2_wgs_64_tpt_64"," 5.45ms "
256," fft_test_len_256_factors_2_2_4_2_8_wgs_64_tpt_64"," 5.45ms "
256," fft_test_len_256_factors_2_4_2_2_8_wgs_64_tpt_64"," 5.45ms "
