"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"twiddle_gen_radices_dp","2","54079","27039","33.466"
"fft_rtc_fwd_len128_factors_16_8_wgs_256_tpt_16_dp_op_CI_CI_sbcc_twdbase5_3step_dirReg_intrinsicReadWrite","2","43359","21679","26.832"
"fft_rtc_fwd_len256_factors_4_4_4_4_wgs_256_tpt_32_dp_op_CI_CI_unitstride_sbrc_aligned_dirReg","2","26239","13119","16.238"
"r2c_even_post_Ndiv4_dim1_dp_CI_CI","2","18079","9039","11.188"
"twiddle_gen_N_dp","1","13600","13600","8.416"
"twiddle_gen_large_dp","1","6239","6239","3.861"
"Total","10","161595","16159","100.0"
