"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hiprtcCompileProgram","8","1712122089","214015261","84.3019071171877"
"hipModuleLaunchKernel","30007","191417634","6379","9.4250706218532"
"hipDeviceSynchronize","2","82775199","41387599","4.07570650629269"
"hipMalloc","9","16429923","1825547","0.808980768128239"
"hipSetDevice","20023","7256288","362","0.357286972069177"
"hipGetDevice","20030","7210258","359","0.355020535107972"
"hiprtcCreateProgram","8","5527104","690888","0.272144966196413"
"hipModuleGetFunction","9","4706434","522937","0.231736605975869"
"hipMemcpy","5","1399701","279940","0.068918837302516"
"hipModuleLoadData","9","665990","73998","0.0327921866563663"
"hipModuleUnload","9","470701","52300","0.0231764967211794"
"hipStreamSynchronize","4","429640","107410","0.0211547246580898"
"hiprtcDestroyProgram","8","279910","34988","0.0137822804651474"
"hipStreamDestroy","1","160440","160440","0.00789978592343341"
"hipFree","9","62020","6891","0.00305375668767975"
"hiprtcGetCode","8","9530","1191","0.000469240587449017"
"hipGetDeviceProperties","3","7200","2400","0.000354515449069562"
"hipStreamCreate","1","6390","6390","0.000314632461049236"
"hiprtcGetCodeSize","8","3660","457","0.000180212019943694"
"hipGetDeviceCount","1","1000","1000","4.92382568152169e-05"
"Total","70162","2030941111","28946","100.0"
