"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"twiddle_gen_radices_dp","2","52318","26159","32.897"
"fft_rtc_fwd_len128_factors_16_8_wgs_256_tpt_16_dp_op_CI_CI_sbcc_twdbase5_3step_dirReg_intrinsicReadWrite","2","43358","21679","27.263"
"fft_rtc_fwd_len256_factors_4_4_4_4_wgs_256_tpt_32_dp_op_CI_CI_unitstride_sbrc_aligned_dirReg","2","25440","12720","15.997"
"r2c_even_post_Ndiv4_dim1_dp_CI_CI","2","18239","9119","11.469"
"twiddle_gen_N_dp","1","13599","13599","8.551"
"twiddle_gen_large_dp","1","6080","6080","3.823"
"Total","10","159034","15903","100.0"
