"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hiprtcCompileProgram","8","3225814901","403226862","94.6921862603021"
"hipModuleGetFunction","9","93909680","10434408","2.7566717815857"
"hipMalloc","10","29189585","2918958","0.856845697756581"
"hipModuleLoadData","9","24785581","2753953","0.727568358585682"
"hipModuleLaunchKernel","307","17449865","56839","0.512232077012508"
"hiprtcCreateProgram","8","10569540","1321192","0.310263570936897"
"hipDeviceSynchronize","2","1730432","865216","0.0507959676185981"
"hipMemcpy","5","1483191","296638","0.0435383314734101"
"hipStreamSynchronize","4","453300","113325","0.0133063952362823"
"hipModuleUnload","9","426280","47364","0.0125132366232571"
"hiprtcDestroyProgram","8","335250","41906","0.00984109641068531"
"hipStreamDestroy","1","157360","157360","0.00461922425409527"
"hipGetDevice","230","115780","503","0.00339866410866262"
"hipSetDevice","223","110830","496","0.00325335932944445"
"hipFree","10","60750","6075","0.00178328592676848"
"hiprtcGetCode","8","12510","1563","0.000367224805660472"
"hipStreamCreate","1","11050","11050","0.000324367234416324"
"hipGetDeviceProperties","3","9470","3156","0.000277987123069918"
"hiprtcGetCodeSize","8","5540","692","0.000162623934720944"
"hipGetDeviceCount","1","1720","1720","5.04897414657084e-05"
"Total","864","3406632615","3942861","100.0"
