"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMalloc","10","16165344","1616534","43.5587269621947"
"hipModuleLaunchKernel","10","7745136","774513","20.8698475150955"
"hipModuleGetFunction","9","5872874","652541","15.8248976977769"
"hipModuleLoadData","9","5124393","569377","13.8080597316074"
"hipMemcpy","5","1281691","256338","3.45361214205539"
"hipStreamSynchronize","4","375020","93755","1.01051940406355"
"hipModuleUnload","9","306810","34090","0.826722463763898"
"hipDeviceSynchronize","2","92420","46210","0.249032593791139"
"hipStreamDestroy","1","76830","76830","0.207024174215248"
"hipFree","10","34550","3455","0.0930975558914073"
"hipGetDevice","35","16720","477","0.0450532889871007"
"hipSetDevice","23","11220","487","0.0302331281360808"
"hipGetDeviceProperties","2","4360","2180","0.0117483456928086"
"hipStreamCreate","1","4240","4240","0.0114249967287863"
"Total","130","37111608","285473","100.0"
