"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMalloc","10","16530894","1653089","44.5593796828789"
"hipModuleLaunchKernel","10","7533827","753382","20.3075924241075"
"hipModuleGetFunction","9","6651544","739060","17.9293796556541"
"hipModuleLoadData","9","4164556","462728","11.2256501078896"
"hipMemcpy","5","1280401","256080","3.45134838474784"
"hipStreamSynchronize","4","370331","92582","0.998235161228439"
"hipModuleUnload","9","323680","35964","0.872486389166505"
"hipDeviceSynchronize","2","94500","47250","0.254726778844027"
"hipStreamDestroy","1","74930","74930","0.201975423690825"
"hipFree","10","34100","3410","0.0919172821013897"
"hipGetDevice","35","17300","494","0.0466325214180071"
"hipSetDevice","23","12070","524","0.032534944133835"
"hipStreamCreate","1","5560","5560","0.0149870993690242"
"hipGetDeviceProperties","2","4880","2440","0.013154144769935"
"Total","130","37098573","285373","100.0"
