"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hiprtcCompileProgram","8","1805608157","225701019","98.0303669232912"
"hipMalloc","10","16066033","1606603","0.872259633900017"
"hipModuleLaunchKernel","10","7532656","753265","0.408964164635711"
"hiprtcCreateProgram","8","4808654","601081","0.26107221226247"
"hipModuleGetFunction","9","4725192","525021","0.256540880006115"
"hipMemcpy","5","1348331","269666","0.0732038023596767"
"hipModuleLoadData","9","606530","67392","0.0329298237934266"
"hipStreamSynchronize","4","392960","98240","0.0213346471862314"
"hipModuleUnload","9","276340","30704","0.0150030954892182"
"hiprtcDestroyProgram","8","239160","29895","0.0129845129811154"
"hipDeviceSynchronize","2","101600","50800","0.00551608345409484"
"hipStreamDestroy","1","77930","77930","0.00423098802733869"
"hipFree","10","46671","4667","0.00253386939848485"
"hipGetDevice","32","16870","527","0.000915908738883661"
"hipSetDevice","25","12690","507","0.000688967510162043"
"hiprtcGetCode","8","11080","1385","0.000601557132592233"
"hipStreamCreate","1","7320","7320","0.000397418611062739"
"hipGetDeviceProperties","3","4210","1403","0.000228569993521056"
"hiprtcGetCodeSize","8","3310","413","0.000179707049537932"
"hipGetDeviceCount","1","870","870","4.72341791836861e-05"
"Total","171","1841886564","10771266","100.0"
