"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hiprtcCompileProgram","8","1373648766","171706095","81.905395869362"
"hipModuleLaunchKernel","30007","211472141","7047","12.6092709087372"
"hipDeviceSynchronize","2","46256719","23128359","2.75811035185165"
"hipMalloc","9","16168933","1796548","0.964091324455928"
"hipSetDevice","20023","7259978","362","0.432884582151519"
"hipGetDevice","20030","7227843","360","0.430968495622408"
"hiprtcCreateProgram","8","7077067","884633","0.421978302296963"
"hipModuleGetFunction","9","4747016","527446","0.283046317444292"
"hipMemcpy","5","1343851","268770","0.080128669619784"
"hipModuleLoadData","9","683910","75990","0.0407789244787305"
"hipStreamSynchronize","4","405081","101270","0.024153422974907"
"hipModuleUnload","9","392661","43629","0.0234128661150485"
"hiprtcDestroyProgram","8","251570","31446","0.0150001521122871"
"hipStreamDestroy","1","108740","108740","0.0064837482239142"
"hipFree","9","45640","5071","0.00272133776843336"
"hiprtcGetCode","8","9110","1138","0.000543194282875283"
"hipStreamCreate","1","7310","7310","0.000435867201736369"
"hipGetDeviceProperties","3","5710","1903","0.000340465351835112"
"hiprtcGetCodeSize","8","3350","418","0.000199747623230757"
"hipGetDeviceCount","1","930","930","5.54523252551058e-05"
"Total","70162","1677116326","23903","100.0"
