"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_real_data_kernel<input_val_1D<unsigned long> const, double>(input_val_1D<unsigned long> const, input_val_1D<unsigned long> const, unsigned long, unsigned long, input_val_1D<unsigned long> const, double*, input_val_1D<unsigned long> const, unsigned long, input_val_1D<unsigned long> const, unsigned long)","11","290803159","26436650","77.942"
"fft_rtc_fwd_len_128_factors_16_8_wgs_256_tpt_16_halfLds_dp_op_CI_CI_sbrr_dirReg","11","22232290","2021117","5.959"
"fft_rtc_fwd_len_256_factors_4_4_4_4_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","11","16339307","1485391","4.379"
"r2c_even_post_Ndiv4_dim1_dp_CI_CI","11","14880943","1352813","3.988"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd2step_fwd_diag_aligned","11","14835664","1348696","3.976"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_aligned","11","13941605","1267418","3.737"
"twiddle_gen_radices_dp","2","52798","26399","0.014"
"twiddle_gen_N_dp","1","9920","9920","0.003"
"twiddle_gen_large_dp","1","8320","8320","0.002"
"Total","70","373104006","5330057","100.0"
