"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hiprtcCompileProgram","8","1706236913","213279614","44.3734631677666"
"hipEventSynchronize","10","1488208352","148820835","38.7032761923576"
"hipFree","10","604207604","60420760","15.713400441348"
"hipMalloc","10","20393487","2039348","0.530365764192576"
"hipModuleGetFunction","9","10851069","1205674","0.282199679853248"
"hipModuleLaunchKernel","37","7051585","190583","0.183387925139723"
"hiprtcCreateProgram","8","3967895","495986","0.103191556397927"
"hipLaunchKernel","11","1708532","155321","0.0444331506341937"
"hipModuleLoadData","9","643981","71553","0.0167477722270105"
"hipModuleUnload","9","496481","55164","0.0129117950732062"
"hipStreamSynchronize","4","423181","105795","0.0110055094774512"
"hipEventRecord","20","259270","12963","0.00674273760452095"
"hiprtcDestroyProgram","8","234310","29288","0.00609361225022295"
"hipStreamDestroy","1","130640","130640","0.00339750546015589"
"hipMemcpy","3","99370","33123","0.00258427830354938"
"hipMemGetInfo","1","94430","94430","0.0024558055771779"
"hipSetDevice","77","37570","487","0.000977068892667305"
"hipGetDevice","81","37270","460","0.000969266905235838"
"hipEventElapsedTime","10","24450","2445","0.000635861975664509"
"hipGetDeviceProperties","14","18990","1356","0.000493865804411821"
"hiprtcGetCode","8","9520","1190","0.000247583067825199"
"hipStreamCreate","1","8890","8890","0.00023119889421912"
"__hipPushCallConfiguration","11","7410","673","0.000192709089557219"
"__hipPopCallConfiguration","11","7330","666","0.000190628559575495"
"hipGetLastError","11","4590","417","0.000119370407701435"
"hiprtcGetCodeSize","8","3280","410","8.53017292506989e-05"
"hipEventDestroy","2","3080","1540","8.0100404296388e-05"
"hipEventCreate","2","2680","1340","6.96977543877662e-05"
"hipGetDeviceCount","1","1940","1940","5.04528520568158e-05"
"Total","395","3845174100","9734617","100.0"
