"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_real_data_kernel<input_val_1D<unsigned long> const, double>(input_val_1D<unsigned long> const, input_val_1D<unsigned long> const, unsigned long, unsigned long, input_val_1D<unsigned long> const, double*, input_val_1D<unsigned long> const, unsigned long, input_val_1D<unsigned long> const, unsigned long)","11","581112630","52828420","81.74"
"fft_rtc_fwd_len_256_factors_8_4_8_wgs_256_tpt_32_dp_op_CI_CI_sbcc_twdbase8_2step_dirReg","11","54768992","4978999","7.704"
"fft_rtc_fwd_len_256_factors_4_4_4_4_wgs_256_tpt_32_dp_op_CI_CI_unitstride_sbrc_aligned_dirReg","11","42566236","3869657","5.987"
"r2c_even_post_Ndiv4_dim1_dp_CI_CI","11","32385989","2944180","4.555"
"twiddle_gen_radices_dp","2","68799","34399","0.01"
"twiddle_gen_N_dp","1","14080","14080","0.002"
"twiddle_gen_large_dp","1","8320","8320","0.001"
"Total","48","710925046","14810938","100.0"
