"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","396337161","36030651","68.33"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned","22","55978578","2544480","9.651"
"fft_rtc_back_len_256_factors_4_4_4_4_wgs_64_tpt_64_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg","11","32951419","2995583","5.681"
"fft_rtc_back_len_256_factors_4_4_4_4_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","11","32535428","2957766","5.609"
"c2r_even_pre_Ndiv4_dim1_dp_CI_CI","11","32169192","2924472","5.546"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd2step_back_diag_aligned","11","29958686","2723516","5.165"
"void impose_hermitian_symmetry_interleaved_1D_kernel<rocfft_complex<double> >(rocfft_complex<double>*, unsigned long, unsigned long, unsigned long, unsigned long, bool)","11","53277","4843","0.009"
"twiddle_gen_radices_dp","1","24479","24479","0.004"
"twiddle_gen_N_dp","1","17119","17119","0.003"
"twiddle_gen_large_dp","1","6720","6720","0.001"
"Total","91","580032059","6373978","100.0"
