"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","1203351150","109395559","79.984"
"fft_rtc_back_len_512_factors_8_8_8_wgs_256_tpt_64_dp_op_CI_CI_sbcc_twdbase8_3step_dirReg","11","114113011","10373910","7.585"
"fft_rtc_back_len_512_factors_8_8_8_wgs_512_tpt_128_dp_op_CI_CI_unitstride_sbrc_aligned","11","99084701","9007700","6.586"
"c2r_even_pre_Ndiv4_dim1_dp_CI_CI","11","87857179","7987016","5.84"
"void impose_hermitian_symmetry_interleaved_1D_kernel<rocfft_complex<double> >(rocfft_complex<double>*, unsigned long, unsigned long, unsigned long, unsigned long, bool)","11","51840","4712","0.003"
"twiddle_gen_N_dp","1","16480","16480","0.001"
"twiddle_gen_radices_dp","1","17920","17920","0.001"
"twiddle_gen_large_dp","1","6080","6080","0.0"
"Total","58","1504498361","25939626","100.0"
