Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_ACTIVE_INST_VALU,SQ_INSTS_FLAT_LDS_ONLY,SQ_INSTS_LDS,SQ_INSTS_VALU,SQ_INSTS_VMEM_RD,SQ_INSTS_VMEM_WR,SQ_LDS_BANK_CONFLICT,SQ_WAIT_INST_LDS,TA_FLAT_READ_WAVEFRONTS[0],TA_FLAT_READ_WAVEFRONTS[1],TA_FLAT_READ_WAVEFRONTS[2],TA_FLAT_READ_WAVEFRONTS[3],TA_FLAT_READ_WAVEFRONTS[4],TA_FLAT_READ_WAVEFRONTS[5],TA_FLAT_READ_WAVEFRONTS[6],TA_FLAT_READ_WAVEFRONTS[7],TA_FLAT_READ_WAVEFRONTS[8],TA_FLAT_READ_WAVEFRONTS[9],TA_FLAT_READ_WAVEFRONTS[10],TA_FLAT_READ_WAVEFRONTS[11],TA_FLAT_READ_WAVEFRONTS[12],TA_FLAT_READ_WAVEFRONTS[13],TA_FLAT_READ_WAVEFRONTS[14],TA_FLAT_READ_WAVEFRONTS[15],TA_TA_BUSY[0],TA_TA_BUSY[1],TA_TA_BUSY[2],TA_TA_BUSY[3],TA_TA_BUSY[4],TA_TA_BUSY[5],TA_TA_BUSY[6],TA_TA_BUSY[7],TA_TA_BUSY[8],TA_TA_BUSY[9],TA_TA_BUSY[10],TA_TA_BUSY[11],TA_TA_BUSY[12],TA_TA_BUSY[13],TA_TA_BUSY[14],TA_TA_BUSY[15],TCC_EA_WRREQ_STALL[0],TCC_EA_WRREQ_STALL[1],TCC_EA_WRREQ_STALL[2],TCC_EA_WRREQ_STALL[3],TCC_EA_WRREQ_STALL[4],TCC_EA_WRREQ_STALL[5],TCC_EA_WRREQ_STALL[6],TCC_EA_WRREQ_STALL[7],TCC_EA_WRREQ_STALL[8],TCC_EA_WRREQ_STALL[9],TCC_EA_WRREQ_STALL[10],TCC_EA_WRREQ_STALL[11],TCC_EA_WRREQ_STALL[12],TCC_EA_WRREQ_STALL[13],TCC_EA_WRREQ_STALL[14],TCC_EA_WRREQ_STALL[15],TCC_EA1_WRREQ_STALL[0],TCC_EA1_WRREQ_STALL[1],TCC_EA1_WRREQ_STALL[2],TCC_EA1_WRREQ_STALL[3],TCC_EA1_WRREQ_STALL[4],TCC_EA1_WRREQ_STALL[5],TCC_EA1_WRREQ_STALL[6],TCC_EA1_WRREQ_STALL[7],TCC_EA1_WRREQ_STALL[8],TCC_EA1_WRREQ_STALL[9],TCC_EA1_WRREQ_STALL[10],TCC_EA1_WRREQ_STALL[11],TCC_EA1_WRREQ_STALL[12],TCC_EA1_WRREQ_STALL[13],TCC_EA1_WRREQ_STALL[14],TCC_EA1_WRREQ_STALL[15],TCC_HIT[0],TCC_HIT[1],TCC_HIT[2],TCC_HIT[3],TCC_HIT[4],TCC_HIT[5],TCC_HIT[6],TCC_HIT[7],TCC_HIT[8],TCC_HIT[9],TCC_HIT[10],TCC_HIT[11],TCC_HIT[12],TCC_HIT[13],TCC_HIT[14],TCC_HIT[15],TCC_MISS[0],TCC_MISS[1],TCC_MISS[2],TCC_MISS[3],TCC_MISS[4],TCC_MISS[5],TCC_MISS[6],TCC_MISS[7],TCC_MISS[8],TCC_MISS[9],TCC_MISS[10],TCC_MISS[11],TCC_MISS[12],TCC_MISS[13],TCC_MISS[14],TCC_MISS[15],TCP_TCP_TA_DATA_STALL_CYCLES[0],TCP_TCP_TA_DATA_STALL_CYCLES[1],TCP_TCP_TA_DATA_STALL_CYCLES[2],TCP_TCP_TA_DATA_STALL_CYCLES[3],TCP_TCP_TA_DATA_STALL_CYCLES[4],TCP_TCP_TA_DATA_STALL_CYCLES[5],TCP_TCP_TA_DATA_STALL_CYCLES[6],TCP_TCP_TA_DATA_STALL_CYCLES[7],TCP_TCP_TA_DATA_STALL_CYCLES[8],TCP_TCP_TA_DATA_STALL_CYCLES[9],TCP_TCP_TA_DATA_STALL_CYCLES[10],TCP_TCP_TA_DATA_STALL_CYCLES[11],TCP_TCP_TA_DATA_STALL_CYCLES[12],TCP_TCP_TA_DATA_STALL_CYCLES[13],TCP_TCP_TA_DATA_STALL_CYCLES[14],TCP_TCP_TA_DATA_STALL_CYCLES[15],DispatchNs,BeginNs,EndNs,CompleteNs
0,twiddle_gen_N_dp,0,1,0,847,847,32768,32,0,0,32,0,16,64,0x0,82819,82819,487787,0,0,95232,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1740,6370,6497,7209,6989,6022,5133,5904,6157,6197,5976,3446,5392,5713,5726,5425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,92,0,0,92,0,23,0,0,23,46,92,0,23,0,516,512,516,512,512,516,512,561,512,512,514,514,517,512,514,603,1139,4197,4297,4958,4753,3688,2979,3615,3949,3728,3623,1721,3193,3287,3548,3029,1319539795486788,1319539799307462,1319539799321542,1319539799339931
1,twiddle_gen_radices_dp,0,1,2,847,847,2048,1024,0,0,32,0,64,64,0x0,47282,47282,42522,0,0,10176,96,96,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,3123,0,0,0,0,0,3060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,10,10,9,13,13,19,11,13,9,11,13,9,14,9,8,4,4,4,5,8,8,14,6,9,4,5,10,4,9,7,0,0,0,0,0,0,0,0,804,0,0,0,0,0,763,0,1319539932362982,1319539933626184,1319539933647304,1319539933656953
2,twiddle_gen_large_dp,0,1,4,847,847,2048,1024,0,0,32,0,32,64,0x0,25576,25576,1700,0,0,468,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647,0,0,0,0,0,0,0,0,0,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,1,0,0,1,1,4,0,2,0,8,6,4,4,0,8,4,7,4,4,1,5,6,4,7,7,0,570,0,0,0,0,0,0,0,0,0,0,580,0,0,0,1319540049654580,1319540050777552,1319540050782832,1319540050793031
3,twiddle_gen_radices_dp,0,1,6,847,847,2048,1024,0,0,32,0,64,64,0x0,53920,53920,48554,0,0,11456,96,112,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,4009,0,0,0,0,0,3041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,9,9,7,14,14,22,11,15,9,10,14,9,13,11,8,4,4,4,4,8,8,14,6,7,4,5,10,4,9,9,0,0,0,0,0,0,0,0,0,988,0,0,0,0,0,751,1319540051600202,1319540052740067,1319540052765506,1319540052770623
4,_ZL39generate_random_interleaved_data_kernelI12input_val_1DImEdEvT_S2_mmS2_P14rocfft_complexIT0_ES2_mS2_m,0,0,21,847,847,65537024,8,0,0,36,0,32,64,0x0,56822408,56822408,3399744595,0,0,2244642277,0,16384250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11897083,47349450,44572656,46426314,48998079,53754864,52981243,50415508,52269025,55261738,47103984,40396868,56993655,53646529,49853807,53893263,543,794,30,699,768,768,775,899,258,785,762,419,360,915,750,904,799,768,914,773,468,758,578,608,798,654,769,821,925,632,875,73,1024108,1024016,1024108,1024016,1024104,1024108,1024108,1024062,1024016,1024016,1024106,1024062,1024108,1024016,1024108,1024016,1024610,1024123,1024149,1024179,1024107,1024380,1024819,1024932,1024720,1024136,1024148,1026421,1024227,1025403,1024799,1024390,1780889,7023211,6536891,6965983,7406759,8489205,8238519,7713171,8156217,8691705,7119560,6463586,9062096,8435878,7647439,8453108,1319540058790818,1319540059966785,1319540096568205,1319540096599589
5,_ZL47impose_hermitian_symmetry_interleaved_1D_kernelI14rocfft_complexIdEEvPT_mmmmb,0,0,22,847,847,1000,8,0,0,8,0,32,64,0x0,20171,20171,2250,0,0,1625,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901,3981,3870,2511,1382,1649,1586,969,839,2575,3027,2702,3097,2783,3254,3425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,46,0,0,0,0,0,0,126,64,64,64,48,90,128,69,128,66,56,128,64,64,129,64,821,3661,3550,2191,1062,1329,1266,649,519,2223,2675,2462,2777,2463,2918,3105,1319540059994899,1319540096693963,1319540096697963,1319540097147390
6,c2r_even_pre_Ndiv4_dim1_dp_CI_CI,0,0,23,847,847,65536000,256,0,0,24,0,32,64,0x0,4627421,4627421,127940764,0,0,65050000,1539000,1538000,0,0,25968,102003,102828,102684,104730,101211,102510,102558,104577,101382,101676,77112,104403,101424,101898,102036,4512688,18379244,18346568,18332653,18177542,18378568,18329808,18352708,18175637,18374082,18353691,13711731,18191559,18374490,18291347,18304840,13692,23051,15351,34688,14022,13123,12473,1370953,22732,13717,14246,13605,23384,8647,11802,8205,19288,21485,20652,34910,19770,14300,15695,681392,24381,13068,16673,9072,50057,10245,12755,14323,952201,943778,947011,1203819,953650,946766,955205,1188293,1207800,949232,946855,947798,1200064,949706,948869,952530,2140368,2148823,2146256,2145217,2136693,2145656,2138098,2162320,2141170,2143971,2144433,2144561,2148747,2143404,2143880,2140022,3072858,11831929,11898295,11928194,12259505,12156528,11763499,12162204,12318788,12133008,12177329,9048611,12245146,11909422,12131959,12209118,1319540061301200,1319540096815400,1319540099739814,1319540099743112
7,fft_rtc_back_len_256_factors_4_4_4_4_wgs_256_tpt_64_dim_2_dp_op_CI_CI_sbcc_twdbase6_3step_dirReg,0,0,24,847,847,16384000,256,19456,0,60,0,32,64,0x0,8370897,8370897,347754013,0,9408000,73024000,3520000,1024000,59176000,13402369,59895,233695,233640,235400,237875,233585,233915,234300,237930,233365,233970,175505,236885,232595,233145,234300,4799873,19526393,19564481,19448053,19267767,19635443,19631677,19523790,19207234,19617523,19562618,14599758,19233983,19689812,19687212,19529697,1337,1054,791,1093,1024,936,784,1766,736,789,986,966,1159,960,585,959,704,1264,773,1707,1424,697,729,1753,1026,1073,957,833,747,446,750,944,162551,133108,98442,161814,73949,161891,162483,202236,162457,133177,98442,162157,98588,161814,162643,140218,2048008,2048012,2048008,2048016,2048007,2048012,2048008,2048014,2048008,2048015,2048008,2048012,2048007,2048017,2048012,2048012,1350600,5874806,5946677,5754582,5563759,5929179,5988144,5850022,5570655,5950134,5871259,4369176,5622912,6041567,5961875,5857752,1319540062533091,1319540099859012,1319540105156973,1319540105160607
8,fft_rtc_back_len_256_factors_8_8_4_wgs_256_tpt_32_dim_2_dp_op_CI_CI_unitstride_sbrc_aligned_dirReg,0,0,25,847,847,8192000,256,32768,0,68,0,32,64,0x0,5586108,5586108,211231852,0,6144000,39552000,2688000,1024000,57344000,19277196,45528,177324,178500,179424,181272,178584,177576,178836,182028,178836,178164,134484,181944,177996,178332,179172,2940918,11845571,11816016,11819191,11690417,11928436,11863666,11908601,11717530,11944356,11939181,8906254,11820181,11998498,11972437,11982023,5792,3559,3884,6765,4966,5636,5640,7117,4638,7292,3021,5237,4533,6886,5511,8688,3223,4806,3362,4876,3199,4982,4809,5481,5712,5147,2198,5280,4109,6298,5007,6720,117340,137445,117450,116684,58442,116771,116938,140122,116692,134152,117342,116714,117392,116780,117172,125851,2048008,2048010,2048008,2048009,2048006,2048007,2048004,2048010,2048004,2048009,2048008,2048004,2048008,2048008,2048008,2048008,1158844,4836218,4773060,4752217,4585456,4862975,4864274,4823573,4562314,4851866,4867858,3599668,4643194,4913952,4900744,4848166,1319540063750952,1319540105278890,1319540108810011,1319540108814020
9,_ZL39generate_random_interleaved_data_kernelI12input_val_1DImEdEvT_S2_mmS2_P14rocfft_complexIT0_ES2_mS2_m,0,0,26,847,847,65537024,8,0,0,36,0,32,64,0x0,56810386,56810386,3399736322,0,0,2244642277,0,16384250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17853251,58594190,58514370,55924201,63081165,51902540,57716654,50181236,58533025,58556609,60771014,40156344,55335657,60938386,54906094,58593174,630,798,708,693,751,717,785,498,161,648,799,372,696,546,258,762,839,708,736,792,395,774,518,811,787,712,724,801,757,798,814,577,1024108,1024062,1024108,1024016,1024104,1024108,1024108,1024016,1024016,1024016,1024106,1024062,1024108,1024016,1024108,1024016,1024020,1024018,1024020,1024016,1024016,1024020,1024044,1024016,1024016,1024016,1024018,1024018,1024020,1024016,1024020,1024016,2859458,8988522,8937716,8416197,9881363,7708321,8998239,7395995,9002374,8989392,9372609,6014043,8317976,9399431,8298831,9027545,1319540065021203,1319540108929987,1319540144924861,1319540144932090
