"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","198933733","18084884","77.337"
"fft_rtc_back_len_128_factors_8_4_4_wgs_256_tpt_32_dim_2_dp_op_CI_CI_sbcc_twdbase5_3step_dirReg_intrinsicReadWrite","11","25395263","2308660","9.873"
"fft_rtc_back_len_256_factors_8_8_4_wgs_256_tpt_32_dim_2_dp_op_CI_CI_unitstride_sbrc_aligned_dirReg","11","17495284","1590480","6.801"
"c2r_even_pre_Ndiv4_dim1_dp_CI_CI","11","15270533","1388230","5.937"
"twiddle_gen_radices_dp","2","54559","27279","0.021"
"void impose_hermitian_symmetry_interleaved_1D_kernel<rocfft_complex<double> >(rocfft_complex<double>*, unsigned long, unsigned long, unsigned long, unsigned long, bool)","11","54880","4989","0.021"
"twiddle_gen_N_dp","1","16159","16159","0.006"
"twiddle_gen_large_dp","1","8160","8160","0.003"
"Total","59","257228571","4359806","100.0"
