"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","791679333","71970848","71.375"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned","22","121729229","5533146","10.975"
"fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg","11","66702647","6063877","6.014"
"fft_rtc_fwd_len_256_factors_4_4_4_4_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","11","64990847","5908258","5.859"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned","11","64002710","5818428","5.77"
"twiddle_gen_radices_dp","2","67678","33839","0.006"
"twiddle_gen_large_dp","1","8160","8160","0.001"
"Total","69","1109180604","16075081","100.0"
