length 128," batch 2097152"
128," fft_test_len_128_factors_2_4_2_4_2_wgs_64_tpt_64_halfLds_dirReg"," 6.85ms "
128," fft_test_len_128_factors_2_4_2_4_2_wgs_64_tpt_64"," 6.85ms "
128," fft_test_len_128_factors_2_2_4_4_2_wgs_64_tpt_64"," 6.86ms "
128," fft_test_len_128_factors_2_2_2_2_8_wgs_64_tpt_64"," 6.94ms "
128," fft_test_len_128_factors_4_2_2_8_wgs_64_tpt_64"," 6.94ms "
128," fft_test_len_128_factors_2_8_2_2_2_wgs_64_tpt_64_dirReg"," 6.97ms "
128," fft_test_len_128_factors_2_4_4_4_wgs_64_tpt_64"," 7.04ms "
128," fft_test_len_128_factors_8_8_2_wgs_64_tpt_64"," 7.08ms "
128," fft_test_len_128_factors_8_2_8_wgs_64_tpt_64"," 7.1ms "
128," fft_test_len_128_factors_4_8_2_2_wgs_64_tpt_64_dirReg"," 7.12ms "
128," fft_test_len_128_factors_4_2_8_2_wgs_64_tpt_64_dirReg"," 7.2ms "
128," fft_test_len_128_factors_2_4_8_2_wgs_64_tpt_64_dirReg"," 7.21ms "
128," fft_test_len_128_factors_2_8_2_4_wgs_64_tpt_64_dirReg"," 7.21ms "
128," fft_test_len_128_factors_2_2_2_8_2_wgs_64_tpt_64_dirReg"," 7.23ms "
128," fft_test_len_128_factors_2_8_4_2_wgs_64_tpt_64_dirReg"," 7.27ms "
128," fft_test_len_128_factors_4_8_2_2_wgs_64_tpt_64"," 7.31ms "
128," fft_test_len_128_factors_8_2_2_2_2_wgs_64_tpt_64_halfLds_dirReg"," 7.34ms "
128," fft_test_len_128_factors_2_2_2_8_2_wgs_64_tpt_64_halfLds_dirReg"," 7.36ms "
128," fft_test_len_128_factors_2_4_8_2_wgs_64_tpt_64_halfLds_dirReg"," 7.36ms "
128," fft_test_len_128_factors_4_2_8_2_wgs_64_tpt_64_halfLds_dirReg"," 7.37ms "
128," fft_test_len_128_factors_2_8_4_2_wgs_64_tpt_64_halfLds_dirReg"," 7.38ms "
128," fft_test_len_128_factors_8_2_2_2_2_wgs_64_tpt_64_dirReg"," 7.4ms "
128," fft_test_len_128_factors_2_8_2_4_wgs_64_tpt_64_halfLds_dirReg"," 7.4ms "
128," fft_test_len_128_factors_2_4_8_2_wgs_64_tpt_64"," 7.42ms "
128," fft_test_len_128_factors_2_2_2_2_8_wgs_64_tpt_64_dirReg"," 7.45ms "
128," fft_test_len_128_factors_4_8_2_2_wgs_64_tpt_64_halfLds_dirReg"," 7.45ms "
128," fft_test_len_128_factors_2_2_8_2_2_wgs_64_tpt_64_dirReg"," 7.46ms "
128," fft_test_len_128_factors_2_2_4_8_wgs_64_tpt_64"," 7.46ms "
128," fft_test_len_128_factors_2_2_8_4_wgs_64_tpt_64"," 7.46ms "
128," fft_test_len_128_factors_2_4_2_8_wgs_64_tpt_64"," 7.46ms "
128," fft_test_len_128_factors_8_2_4_2_wgs_64_tpt_64_dirReg"," 7.46ms "
128," fft_test_len_128_factors_8_4_2_2_wgs_64_tpt_64_halfLds_dirReg"," 7.46ms "
128," fft_test_len_128_factors_2_2_8_4_wgs_64_tpt_64_dirReg"," 7.47ms "
128," fft_test_len_128_factors_2_2_2_2_8_wgs_64_tpt_64_halfLds_dirReg"," 7.48ms "
128," fft_test_len_128_factors_8_2_4_2_wgs_64_tpt_64_halfLds_dirReg"," 7.49ms "
128," fft_test_len_128_factors_2_4_2_8_wgs_64_tpt_64_dirReg"," 7.51ms "
128," fft_test_len_128_factors_8_4_2_2_wgs_64_tpt_64_dirReg"," 7.51ms "
128," fft_test_len_128_factors_2_8_2_2_2_wgs_64_tpt_64"," 7.53ms "
128," fft_test_len_128_factors_2_8_4_2_wgs_64_tpt_64"," 7.56ms "
128," fft_test_len_128_factors_2_2_8_4_wgs_64_tpt_64_halfLds_dirReg"," 7.57ms "
128," fft_test_len_128_factors_2_2_4_8_wgs_64_tpt_64_dirReg"," 7.59ms "
128," fft_test_len_128_factors_2_2_4_8_wgs_64_tpt_64_halfLds_dirReg"," 7.64ms "
128," fft_test_len_128_factors_2_2_2_8_2_wgs_64_tpt_64"," 7.68ms "
128," fft_test_len_128_factors_4_2_8_2_wgs_64_tpt_64"," 7.69ms "
128," fft_test_len_128_factors_2_2_8_2_2_wgs_64_tpt_64"," 7.72ms "
128," fft_test_len_128_factors_8_2_2_4_wgs_64_tpt_64_halfLds_dirReg"," 7.74ms "
128," fft_test_len_128_factors_8_2_2_4_wgs_64_tpt_64_dirReg"," 7.74ms "
128," fft_test_len_128_factors_2_8_2_2_2_wgs_64_tpt_64_halfLds_dirReg"," 7.78ms "
128," fft_test_len_128_factors_2_4_2_8_wgs_64_tpt_64_halfLds_dirReg"," 7.81ms "
128," fft_test_len_128_factors_8_8_2_wgs_64_tpt_64_dirReg"," 7.82ms "
128," fft_test_len_128_factors_4_2_2_8_wgs_64_tpt_64_dirReg"," 7.86ms "
128," fft_test_len_128_factors_8_8_2_wgs_64_tpt_64_halfLds_dirReg"," 7.96ms "
128," fft_test_len_128_factors_2_8_2_4_wgs_64_tpt_64"," 8.04ms "
128," fft_test_len_128_factors_4_2_2_8_wgs_64_tpt_64_halfLds_dirReg"," 8.05ms "
128," fft_test_len_128_factors_2_8_8_wgs_64_tpt_64_dirReg"," 8.07ms "
128," fft_test_len_128_factors_16_2_2_2_wgs_64_tpt_64"," 8.15ms "
128," fft_test_len_128_factors_2_2_8_2_2_wgs_64_tpt_64_halfLds_dirReg"," 8.4ms "
128," fft_test_len_128_factors_2_8_8_wgs_64_tpt_64_halfLds_dirReg"," 8.42ms "
128," fft_test_len_128_factors_16_4_2_wgs_64_tpt_64"," 8.65ms "
128," fft_test_len_128_factors_2_8_8_wgs_64_tpt_64"," 8.87ms "
128," fft_test_len_128_factors_4_4_2_4_wgs_128_tpt_128_dirReg"," 9.08ms "
128," fft_test_len_128_factors_8_2_8_wgs_64_tpt_64_dirReg"," 9.12ms "
128," fft_test_len_128_factors_4_2_4_4_wgs_128_tpt_128_dirReg"," 9.13ms "
128," fft_test_len_128_factors_8_2_8_wgs_64_tpt_64_halfLds_dirReg"," 9.13ms "
128," fft_test_len_128_factors_2_4_4_4_wgs_128_tpt_128_dirReg"," 9.29ms "
128," fft_test_len_128_factors_4_4_4_2_wgs_128_tpt_128_dirReg"," 9.29ms "
128," fft_test_len_128_factors_4_2_2_2_4_wgs_128_tpt_128_dirReg"," 9.46ms "
128," fft_test_len_128_factors_8_2_2_4_wgs_128_tpt_128_dirReg"," 9.48ms "
128," fft_test_len_128_factors_4_4_2_2_2_wgs_128_tpt_128_dirReg"," 9.5ms "
128," fft_test_len_128_factors_4_4_2_4_wgs_128_tpt_128_halfLds_dirReg"," 9.51ms "
128," fft_test_len_128_factors_16_2_4_wgs_64_tpt_64"," 9.55ms "
128," fft_test_len_128_factors_4_4_2_4_wgs_128_tpt_128"," 9.56ms "
128," fft_test_len_128_factors_2_4_2_2_4_wgs_128_tpt_128_dirReg"," 9.57ms "
128," fft_test_len_128_factors_8_4_4_wgs_128_tpt_128"," 9.57ms "
128," fft_test_len_128_factors_4_2_4_2_2_wgs_128_tpt_128_dirReg"," 9.6ms "
128," fft_test_len_128_factors_8_4_4_wgs_128_tpt_128_halfLds_dirReg"," 9.6ms "
128," fft_test_len_128_factors_8_4_2_2_wgs_128_tpt_128_dirReg"," 9.63ms "
128," fft_test_len_128_factors_4_2_4_4_wgs_128_tpt_128"," 9.66ms "
128," fft_test_len_128_factors_4_2_4_4_wgs_128_tpt_128_halfLds_dirReg"," 9.67ms "
128," fft_test_len_128_factors_4_4_4_2_wgs_128_tpt_128_halfLds_dirReg"," 9.68ms "
128," fft_test_len_128_factors_4_2_2_4_2_wgs_128_tpt_128_dirReg"," 9.69ms "
128," fft_test_len_128_factors_2_4_4_2_2_wgs_128_tpt_128_dirReg"," 9.71ms "
128," fft_test_len_128_factors_8_2_4_2_wgs_128_tpt_128_dirReg"," 9.71ms "
128," fft_test_len_128_factors_2_2_4_2_4_wgs_128_tpt_128_dirReg"," 9.74ms "
128," fft_test_len_128_factors_2_4_2_4_2_wgs_128_tpt_128_dirReg"," 9.77ms "
128," fft_test_len_128_factors_16_2_2_2_wgs_64_tpt_64_dirReg"," 9.79ms "
128," fft_test_len_128_factors_4_4_4_2_wgs_128_tpt_128"," 9.82ms "
128," fft_test_len_128_factors_4_2_2_2_2_2_wgs_128_tpt_128_dirReg"," 9.83ms "
128," fft_test_len_128_factors_4_2_2_2_4_wgs_128_tpt_128"," 9.84ms "
128," fft_test_len_128_factors_2_4_4_4_wgs_128_tpt_128_halfLds_dirReg"," 9.84ms "
128," fft_test_len_128_factors_2_2_2_4_4_wgs_128_tpt_128_dirReg"," 9.85ms "
128," fft_test_len_128_factors_4_4_8_wgs_128_tpt_128_dirReg"," 9.87ms "
128," fft_test_len_128_factors_8_2_2_4_wgs_128_tpt_128"," 9.88ms "
128," fft_test_len_128_factors_16_4_2_wgs_64_tpt_64_dirReg"," 9.9ms "
128," fft_test_len_128_factors_8_2_2_2_2_wgs_128_tpt_128_dirReg"," 9.93ms "
128," fft_test_len_128_factors_2_4_2_2_2_2_wgs_128_tpt_128_dirReg"," 9.98ms "
128," fft_test_len_128_factors_2_2_4_4_2_wgs_128_tpt_128_dirReg"," 9.98ms "
128," fft_test_len_128_factors_2_4_4_4_wgs_128_tpt_128"," 9.98ms "
128," fft_test_len_128_factors_8_2_2_4_wgs_128_tpt_128_halfLds_dirReg"," 9.99ms "
128," fft_test_len_128_factors_4_4_2_2_2_wgs_128_tpt_128"," 10ms "
128," fft_test_len_128_factors_2_2_2_2_2_4_wgs_128_tpt_128_dirReg"," 10.1ms "
128," fft_test_len_128_factors_2_2_4_2_2_2_wgs_128_tpt_128_dirReg"," 10.1ms "
128," fft_test_len_128_factors_4_2_2_2_4_wgs_128_tpt_128_halfLds_dirReg"," 10.1ms "
128," fft_test_len_128_factors_4_2_4_2_2_wgs_128_tpt_128"," 10.1ms "
128," fft_test_len_128_factors_4_4_2_2_2_wgs_128_tpt_128_halfLds_dirReg"," 10.1ms "
128," fft_test_len_128_factors_8_4_2_2_wgs_128_tpt_128_halfLds_dirReg"," 10.1ms "
128," fft_test_len_128_factors_8_4_2_2_wgs_128_tpt_128"," 10.1ms "
128," fft_test_len_128_factors_2_2_2_4_2_2_wgs_128_tpt_128_dirReg"," 10.2ms "
128," fft_test_len_128_factors_8_2_2_2_2_wgs_128_tpt_128"," 10.2ms "
128," fft_test_len_128_factors_2_4_2_2_4_wgs_128_tpt_128_halfLds_dirReg"," 10.2ms "
128," fft_test_len_128_factors_4_2_2_4_2_wgs_128_tpt_128"," 10.2ms "
128," fft_test_len_128_factors_8_2_4_2_wgs_128_tpt_128_halfLds_dirReg"," 10.2ms "
128," fft_test_len_128_factors_8_2_4_2_wgs_128_tpt_128"," 10.2ms "
128," fft_test_len_128_factors_4_2_2_2_2_2_wgs_128_tpt_128"," 10.3ms "
128," fft_test_len_128_factors_4_2_2_4_2_wgs_128_tpt_128_halfLds_dirReg"," 10.3ms "
128," fft_test_len_128_factors_4_2_4_2_2_wgs_128_tpt_128_halfLds_dirReg"," 10.3ms "
128," fft_test_len_128_factors_8_4_4_wgs_128_tpt_128_dirReg"," 10.3ms "
128," fft_test_len_128_factors_2_2_2_2_2_2_2_wgs_128_tpt_128_dirReg"," 10.4ms "
128," fft_test_len_128_factors_2_2_2_2_4_2_wgs_128_tpt_128_dirReg"," 10.4ms "
128," fft_test_len_128_factors_2_2_4_2_4_wgs_128_tpt_128_halfLds_dirReg"," 10.4ms "
128," fft_test_len_128_factors_2_2_4_2_4_wgs_128_tpt_128"," 10.4ms "
128," fft_test_len_128_factors_2_4_2_4_2_wgs_128_tpt_128_halfLds_dirReg"," 10.4ms "
128," fft_test_len_128_factors_2_4_4_2_2_wgs_128_tpt_128_halfLds_dirReg"," 10.4ms "
128," fft_test_len_128_factors_2_4_4_2_2_wgs_128_tpt_128"," 10.4ms "
128," fft_test_len_128_factors_16_2_2_2_wgs_64_tpt_64_halfLds_dirReg"," 10.4ms "
128," fft_test_len_128_factors_4_2_2_8_wgs_128_tpt_128_dirReg"," 10.4ms "
128," fft_test_len_128_factors_8_2_8_wgs_128_tpt_128_dirReg"," 10.4ms "
128," fft_test_len_128_factors_2_2_2_4_4_wgs_128_tpt_128_halfLds_dirReg"," 10.5ms "
128," fft_test_len_128_factors_2_2_2_4_4_wgs_128_tpt_128"," 10.5ms "
128," fft_test_len_128_factors_2_4_2_2_4_wgs_128_tpt_128"," 10.5ms "
128," fft_test_len_128_factors_2_4_2_4_2_wgs_128_tpt_128"," 10.5ms "
128," fft_test_len_128_factors_16_2_4_wgs_64_tpt_64_dirReg"," 10.5ms "
128," fft_test_len_128_factors_2_2_2_2_2_4_wgs_128_tpt_128"," 10.6ms "
128," fft_test_len_128_factors_2_4_2_2_2_2_wgs_128_tpt_128"," 10.6ms "
128," fft_test_len_128_factors_4_2_2_2_2_2_wgs_128_tpt_128_halfLds_dirReg"," 10.6ms "
128," fft_test_len_128_factors_8_2_2_2_2_wgs_128_tpt_128_halfLds_dirReg"," 10.6ms "
128," fft_test_len_128_factors_2_2_4_4_2_wgs_128_tpt_128_halfLds_dirReg"," 10.6ms "
128," fft_test_len_128_factors_2_4_2_8_wgs_128_tpt_128_dirReg"," 10.6ms "
128," fft_test_len_128_factors_16_2_4_wgs_64_tpt_64_halfLds_dirReg"," 10.6ms "
128," fft_test_len_128_factors_16_4_2_wgs_64_tpt_64_halfLds_dirReg"," 10.6ms "
128," fft_test_len_128_factors_2_2_4_4_2_wgs_128_tpt_128"," 10.7ms "
128," fft_test_len_128_factors_2_2_4_2_2_2_wgs_128_tpt_128"," 10.8ms "
128," fft_test_len_128_factors_2_4_2_2_2_2_wgs_128_tpt_128_halfLds_dirReg"," 10.8ms "
128," fft_test_len_128_factors_2_2_4_8_wgs_128_tpt_128_dirReg"," 10.8ms "
128," fft_test_len_128_factors_2_2_2_2_2_4_wgs_128_tpt_128_halfLds_dirReg"," 10.9ms "
128," fft_test_len_128_factors_2_2_2_4_2_2_wgs_128_tpt_128"," 10.9ms "
128," fft_test_len_128_factors_2_2_4_2_2_2_wgs_128_tpt_128_halfLds_dirReg"," 10.9ms "
128," fft_test_len_128_factors_2_2_2_2_2_2_2_wgs_128_tpt_128"," 11ms "
128," fft_test_len_128_factors_2_2_2_2_4_2_wgs_128_tpt_128"," 11ms "
128," fft_test_len_128_factors_2_2_2_4_2_2_wgs_128_tpt_128_halfLds_dirReg"," 11ms "
128," fft_test_len_128_factors_2_2_2_2_4_2_wgs_128_tpt_128_halfLds_dirReg"," 11.1ms "
128," fft_test_len_128_factors_4_4_8_wgs_128_tpt_128"," 11.1ms "
128," fft_test_len_128_factors_2_16_4_wgs_64_tpt_64_halfLds_dirReg"," 11.3ms "
128," fft_test_len_128_factors_2_2_2_2_2_2_2_wgs_128_tpt_128_halfLds_dirReg"," 11.4ms "
128," fft_test_len_128_factors_4_2_2_8_wgs_128_tpt_128"," 11.4ms "
128," fft_test_len_128_factors_4_4_8_wgs_128_tpt_128_halfLds_dirReg"," 11.4ms "
128," fft_test_len_128_factors_4_8_4_wgs_128_tpt_128_dirReg"," 11.4ms "
128," fft_test_len_128_factors_4_8_4_wgs_128_tpt_128_halfLds_dirReg"," 11.5ms "
128," fft_test_len_128_factors_4_8_2_2_wgs_128_tpt_128_dirReg"," 11.7ms "
128," fft_test_len_128_factors_4_2_8_2_wgs_128_tpt_128_dirReg"," 11.8ms "
128," fft_test_len_128_factors_8_2_8_wgs_128_tpt_128_halfLds_dirReg"," 11.8ms "
128," fft_test_len_128_factors_8_8_2_wgs_128_tpt_128_dirReg"," 11.8ms "
128," fft_test_len_128_factors_2_2_2_2_8_wgs_128_tpt_128"," 11.9ms "
128," fft_test_len_128_factors_2_2_8_4_wgs_128_tpt_128_dirReg"," 11.9ms "
128," fft_test_len_128_factors_2_4_2_8_wgs_128_tpt_128"," 11.9ms "
128," fft_test_len_128_factors_4_8_4_wgs_128_tpt_128"," 11.9ms "
128," fft_test_len_128_factors_2_2_4_8_wgs_128_tpt_128"," 12ms "
128," fft_test_len_128_factors_2_4_8_2_wgs_128_tpt_128_dirReg"," 12ms "
128," fft_test_len_128_factors_2_8_2_4_wgs_128_tpt_128_dirReg"," 12ms "
128," fft_test_len_128_factors_4_2_2_8_wgs_128_tpt_128_halfLds_dirReg"," 12ms "
128," fft_test_len_128_factors_4_8_2_2_wgs_128_tpt_128_halfLds_dirReg"," 12ms "
128," fft_test_len_128_factors_4_16_2_wgs_64_tpt_64_dirReg"," 12ms "
128," fft_test_len_128_factors_2_2_8_2_2_wgs_128_tpt_128_dirReg"," 12.1ms "
128," fft_test_len_128_factors_2_2_2_16_wgs_64_tpt_64"," 12.1ms "
128," fft_test_len_128_factors_2_16_2_2_wgs_64_tpt_64_dirReg"," 12.1ms "
128," fft_test_len_128_factors_8_2_8_wgs_128_tpt_128"," 12.1ms "
128," fft_test_len_128_factors_8_8_2_wgs_128_tpt_128_halfLds_dirReg"," 12.1ms "
128," fft_test_len_128_factors_2_2_2_2_8_wgs_128_tpt_128_dirReg"," 12.2ms "
128," fft_test_len_128_factors_2_2_2_8_2_wgs_128_tpt_128_dirReg"," 12.2ms "
128," fft_test_len_128_factors_2_8_2_2_2_wgs_128_tpt_128_dirReg"," 12.2ms "
128," fft_test_len_128_factors_2_4_2_8_wgs_128_tpt_128_halfLds_dirReg"," 12.2ms "
