"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_real_data_kernel<input_val_1D<unsigned long> const, double>(input_val_1D<unsigned long> const, input_val_1D<unsigned long> const, unsigned long, unsigned long, input_val_1D<unsigned long> const, double*, input_val_1D<unsigned long> const, unsigned long, input_val_1D<unsigned long> const, unsigned long)","11","1160622778","105511161","75.016"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned","22","121732567","5533298","7.868"
"r2c_even_post_Ndiv4_dim1_dp_CI_CI","11","74157346","6741576","4.793"
"fft_rtc_fwd_len_256_factors_4_4_4_4_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","11","64943639","5903967","4.198"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned","11","63984778","5816798","4.136"
"fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","11","61637474","5603406","3.984"
"twiddle_gen_radices_dp","2","67358","33679","0.004"
"twiddle_gen_N_dp","1","18240","18240","0.001"
"twiddle_gen_large_dp","1","8000","8000","0.001"
"Total","81","1547172180","19100891","100.0"
