"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","3166847725","287895247","71.737"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned","22","459656239","20893465","10.412"
"fft_rtc_fwd_len_1024_factors_8_8_4_4_wgs_128_tpt_128_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg","11","284752328","25886575","6.45"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned","11","256971033","23361003","5.821"
"fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","11","246197676","22381606","5.577"
"twiddle_gen_radices_dp","2","75679","37839","0.002"
"twiddle_gen_large_dp","1","8320","8320","0.0"
"Total","69","4414509000","63978391","100.0"
