"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","198921232","18083748","68.183"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_aligned","22","27882407","1267382","9.557"
"fft_rtc_back_len_128_factors_2_2_2_2_2_2_2_wgs_64_tpt_64_halfLds_dim_1_dp_ip_CI_unitstride_sbrr_dirReg","11","18197986","1654362","6.238"
"fft_rtc_back_len_256_factors_4_4_4_4_wgs_64_tpt_64_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg","11","16506026","1500547","5.658"
"c2r_even_pre_Ndiv4_dim1_dp_CI_CI","11","15294049","1390368","5.242"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd2step_back_diag_aligned","11","14820620","1347329","5.08"
"void impose_hermitian_symmetry_interleaved_1D_kernel<rocfft_complex<double> >(rocfft_complex<double>*, unsigned long, unsigned long, unsigned long, unsigned long, bool)","11","61599","5599","0.021"
"twiddle_gen_radices_dp","2","37120","18560","0.013"
"twiddle_gen_N_dp","1","18559","18559","0.006"
"twiddle_gen_large_dp","1","6880","6880","0.002"
"Total","92","291746478","3171157","100.0"
