"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","1583259225","143932656","72.186"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned","22","225861257","10266420","10.298"
"fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg","11","133068658","12097150","6.067"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned","11","127889093","11626281","5.831"
"fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","11","123167441","11197040","5.616"
"twiddle_gen_radices_dp","1","43359","43359","0.002"
"twiddle_gen_large_dp","1","8320","8320","0.0"
"Total","68","2193297353","32254372","100.0"
