"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_real_data_kernel<input_val_1D<unsigned long> const, double>(input_val_1D<unsigned long> const, input_val_1D<unsigned long> const, unsigned long, unsigned long, input_val_1D<unsigned long> const, double*, input_val_1D<unsigned long> const, unsigned long, input_val_1D<unsigned long> const, unsigned long)","11","291158720","26468974","75.93"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_aligned","22","27887689","1267622","7.273"
"fft_rtc_fwd_len_128_factors_2_2_2_2_2_2_2_wgs_64_tpt_64_halfLds_dim_1_dp_ip_CI_unitstride_sbrr_dirReg","11","18274627","1661329","4.766"
"fft_rtc_fwd_len_256_factors_4_4_4_4_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","11","16320752","1483704","4.256"
"r2c_even_post_Ndiv4_dim1_dp_CI_CI","11","14916783","1356071","3.89"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd2step_fwd_diag_aligned","11","14834706","1348609","3.869"
"twiddle_gen_radices_dp","2","40958","20479","0.011"
"twiddle_gen_N_dp","1","14080","14080","0.004"
"twiddle_gen_large_dp","1","7040","7040","0.002"
"Total","81","383455355","4734016","100.0"
