"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_real_data_kernel<input_val_1D<unsigned long> const, double>(input_val_1D<unsigned long> const, input_val_1D<unsigned long> const, unsigned long, unsigned long, input_val_1D<unsigned long> const, double*, input_val_1D<unsigned long> const, unsigned long, input_val_1D<unsigned long> const, unsigned long)","11","1161026201","105547836","80.284"
"fft_rtc_fwd_len_256_factors_4_4_4_4_wgs_256_tpt_64_dim_2_dp_op_CI_CI_sbcc_twdbase6_3step_dirReg","11","120142854","10922077","8.308"
"fft_rtc_fwd_len_512_factors_8_8_4_2_wgs_256_tpt_64_dim_2_dp_op_CI_CI_unitstride_sbrc_aligned_dirReg","11","91016165","8274196","6.294"
"r2c_even_post_Ndiv4_dim1_dp_CI_CI","11","73873679","6715789","5.108"
"twiddle_gen_radices_dp","2","54239","27119","0.004"
"twiddle_gen_N_dp","1","20000","20000","0.001"
"twiddle_gen_large_dp","1","8000","8000","0.001"
"Total","48","1446141138","30127940","100.0"
