"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","198757738","18068885","61.971"
"fft_rtc_back_len_128_factors_8_2_2_2_2_wgs_64_tpt_64_dp_op_CI_CI_sbcc_twdbase5_3step_dirReg_intrinsicReadWrite","11","68189498","6199045","21.261"
"fft_rtc_back_len_256_factors_8_2_2_2_2_2_wgs_64_tpt_64_dp_op_CI_CI_unitstride_sbrc_aligned_dirReg","11","38397211","3490655","11.972"
"c2r_even_pre_Ndiv4_dim1_dp_CI_CI","11","15271969","1388360","4.762"
"void impose_hermitian_symmetry_interleaved_1D_kernel<rocfft_complex<double> >(rocfft_complex<double>*, unsigned long, unsigned long, unsigned long, unsigned long, bool)","11","53438","4858","0.017"
"twiddle_gen_radices_dp","2","31840","15920","0.01"
"twiddle_gen_N_dp","1","16799","16799","0.005"
"twiddle_gen_large_dp","1","8320","8320","0.003"
"Total","59","320726813","5436047","100.0"
