"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hiprtcCompileProgram","8","1549558213","193694776","67.084419907863"
"hipEventSynchronize","10","522288406","52228840","22.6112284438019"
"hipFree","9","201406258","22378473","8.71940264676162"
"hipMalloc","9","12198339","1355371","0.528097937069539"
"hipModuleGetFunction","9","10165017","1129446","0.440070120036572"
"hipModuleLaunchKernel","37","6374195","172275","0.275955540338646"
"hiprtcCreateProgram","8","3883994","485499","0.168148238788123"
"hipLaunchKernel","22","1702582","77390","0.0737092190905443"
"hipModuleLoadData","9","699811","77756","0.0302966449316232"
"hipStreamSynchronize","4","460030","115007","0.0199158995327233"
"hipModuleUnload","9","283580","31508","0.0122769184389924"
"hiprtcDestroyProgram","8","230490","28811","0.00997851375627109"
"hipEventRecord","20","159520","7976","0.00690603720074782"
"hipStreamDestroy","1","120681","120681","0.00522459550792031"
"hipMemGetInfo","1","83150","83150","0.00359978054941187"
"hipMemcpy","3","79972","26657","0.00346219663376507"
"hipGetDevice","79","39420","498","0.00170659469943254"
"hipSetDevice","75","37060","494","0.00160442413904033"
"hipGetDeviceProperties","14","20140","1438","0.000871913172160613"
"hipEventElapsedTime","10","14020","1402","0.000606962396906246"
"__hipPopCallConfiguration","22","11870","539","0.000513883284684532"
"__hipPushCallConfiguration","22","10860","493","0.000470157748245495"
"hiprtcGetCode","8","9210","1151","0.000398724941191621"
"hipGetLastError","22","7910","359","0.000342444547755236"
"hipStreamCreate","1","7820","7820","0.000338548212825025"
"hiprtcGetCodeSize","8","3330","416","0.000144164392417817"
"hipEventCreate","2","2810","1405","0.000121652235043263"
"hipEventDestroy","2","2700","1350","0.000116890047906338"
"hipGetDeviceCount","1","1640","1640","7.09998809505167e-05"
"Total","433","2309863028","5334556","100.0"
