"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","2406753286","218795753","75.626"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned","22","324570002","14753181","10.199"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned","11","167403965","15218542","5.26"
"fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","11","143397412","13036128","4.506"
"fft_rtc_fwd_len_1024_factors_8_8_4_4_wgs_128_tpt_128_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg","11","140298534","12754412","4.408"
"twiddle_gen_radices_dp","2","27520","13760","0.001"
"twiddle_gen_large_dp","1","6400","6400","0.0"
"Total","69","3182457119","46122566","100.0"
