"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_real_data_kernel<input_val_1D<unsigned long> const, double>(input_val_1D<unsigned long> const, input_val_1D<unsigned long> const, unsigned long, unsigned long, input_val_1D<unsigned long> const, double*, input_val_1D<unsigned long> const, unsigned long, input_val_1D<unsigned long> const, unsigned long)","11","300855295","27350481","91.412"
"fft_rtc_fwd_len_128_factors_8_4_4_wgs_256_tpt_32_dim_2_dp_op_CI_CI_sbcc_twdbase5_3step_dirReg","11","9428157","857105","2.865"
"fft_rtc_fwd_len_256_factors_8_4_4_2_wgs_256_tpt_64_dim_2_dp_op_CI_CI_unitstride_sbrc_aligned","11","9408316","855301","2.859"
"r2c_even_post_Ndiv4_dim1_dp_CI_CI","11","9394559","854050","2.854"
"twiddle_gen_radices_dp","2","20960","10480","0.006"
"twiddle_gen_N_dp","1","6400","6400","0.002"
"twiddle_gen_large_dp","1","5280","5280","0.002"
"Total","48","329118967","6856645","100.0"
