"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","791666535","71969685","66.972"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned","22","121602844","5527402","10.287"
"c2r_even_pre_Ndiv4_dim1_dp_CI_CI","11","73029215","6639019","6.178"
"fft_rtc_back_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg","11","66694808","6063164","5.642"
"fft_rtc_back_len_256_factors_4_4_4_4_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","11","64966532","5906048","5.496"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_back_diag_aligned","11","63975346","5815940","5.412"
"twiddle_gen_radices_dp","2","65120","32560","0.006"
"void impose_hermitian_symmetry_interleaved_1D_kernel<rocfft_complex<double> >(rocfft_complex<double>*, unsigned long, unsigned long, unsigned long, unsigned long, bool)","11","53279","4843","0.005"
"twiddle_gen_N_dp","1","21279","21279","0.002"
"twiddle_gen_large_dp","1","6560","6560","0.001"
"Total","92","1182081518","12848712","100.0"
