"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hiprtcCompileProgram","8","1424714949","178089368","76.403950616293"
"hipEventSynchronize","10","256821364","25682136","13.7726966548906"
"hipFree","9","148203423","16467047","7.94778423572053"
"hipModuleGetFunction","9","10207602","1134178","0.547408532258458"
"hipMalloc","9","9838739","1093193","0.527627318861378"
"hipModuleLaunchKernel","37","6156036","166379","0.330133035289799"
"hiprtcCreateProgram","8","4367893","545986","0.234239334193476"
"hipLaunchKernel","22","1742901","79222","0.0934674841634497"
"hipModuleLoadData","9","1126840","125204","0.0604296514000174"
"hipStreamSynchronize","4","434840","108710","0.0233193972656132"
"hipModuleUnload","9","273871","30430","0.014687026604109"
"hiprtcDestroyProgram","8","198820","24852","0.0106622264841073"
"hipEventRecord","20","141360","7068","0.00758078833011471"
"hipMemcpy","3","99450","33150","0.0053332583434487"
"hipMemGetInfo","1","86020","86020","0.0046130405500599"
"hipStreamDestroy","1","84070","84070","0.0045084668570511"
"hipEventElapsedTime","10","66081","6608","0.00354376113216122"
"hipGetDevice","79","36040","456","0.00193273635694209"
"hipSetDevice","75","34270","456","0.00183781562021103"
"hipGetDeviceProperties","14","16540","1181","0.000886999426854112"
"hipStreamCreate","1","16020","16020","0.000859113108718433"
"__hipPushCallConfiguration","22","10150","461","0.000544319478994513"
"__hipPopCallConfiguration","22","9980","453","0.00053520279806554"
"hiprtcGetCode","8","9060","1132","0.000485865465979338"
"hipGetLastError","22","6920","314","0.000371102541344042"
"hipEventDestroy","2","3280","1640","0.000175898314394286"
"hiprtcGetCodeSize","8","3050","381","0.000163563981372735"
"hipEventCreate","2","2800","1400","0.000150157097653659"
"hipGetDeviceCount","1","1350","1350","7.2397172083014e-05"
"Total","433","1864713719","4306498","100.0"
