"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","1203351870","109395624","80.688"
"fft_rtc_back_len_512_factors_8_8_8_wgs_256_tpt_64_dp_op_CI_CI_sbcc_twdbase8_3step_dirReg","11","114098213","10372564","7.651"
"c2r_even_pre_Ndiv4_dim1_dp_CI_CI","11","87863483","7987589","5.892"
"fft_rtc_back_len_512_factors_8_8_4_2_wgs_256_tpt_64_dim_2_dp_op_CI_CI_unitstride_sbrc_aligned","11","85940458","7812768","5.763"
"void impose_hermitian_symmetry_interleaved_1D_kernel<rocfft_complex<double> >(rocfft_complex<double>*, unsigned long, unsigned long, unsigned long, unsigned long, bool)","11","50720","4610","0.003"
"twiddle_gen_radices_dp","2","29280","14640","0.002"
"twiddle_gen_N_dp","1","16320","16320","0.001"
"twiddle_gen_large_dp","1","6080","6080","0.0"
"Total","59","1491356424","25277227","100.0"
