"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_real_data_kernel<input_val_1D<unsigned long> const, double>(input_val_1D<unsigned long> const, input_val_1D<unsigned long> const, unsigned long, unsigned long, input_val_1D<unsigned long> const, double*, input_val_1D<unsigned long> const, unsigned long, input_val_1D<unsigned long> const, unsigned long)","11","2323996425","211272402","75.368"
"fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","22","246345159","11197507","7.989"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned","22","229612576","10436935","7.446"
"r2c_even_post_Ndiv4_dim1_dp_CI_CI","11","155518569","14138051","5.044"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned","11","127960154","11632741","4.15"
"twiddle_gen_N_dp","1","29439","29439","0.001"
"twiddle_gen_radices_dp","1","43199","43199","0.001"
"twiddle_gen_large_dp","1","8320","8320","0.0"
"Total","80","3083513841","38543923","100.0"
