"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","198695128","18063193","70.577"
"fft_rtc_back_len_128_factors_16_8_wgs_256_tpt_16_halfLds_dp_op_CI_CI_sbrr_dirReg","11","22124453","2011313","7.859"
"fft_rtc_back_len_256_factors_4_4_4_4_wgs_64_tpt_64_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg","11","16538179","1503470","5.874"
"c2r_even_pre_Ndiv4_dim1_dp_CI_CI","11","15281567","1389233","5.428"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd2step_back_diag_aligned","11","14824622","1347692","5.266"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_aligned","11","13938560","1267141","4.951"
"void impose_hermitian_symmetry_interleaved_1D_kernel<rocfft_complex<double> >(rocfft_complex<double>*, unsigned long, unsigned long, unsigned long, unsigned long, bool)","11","53279","4843","0.019"
"twiddle_gen_radices_dp","2","51199","25599","0.018"
"twiddle_gen_N_dp","1","13919","13919","0.005"
"twiddle_gen_large_dp","1","6880","6880","0.002"
"Total","81","281527786","3475651","100.0"
