"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hiprtcCompileProgram","8","1380291711","172536463","73.2047183217497"
"hipEventSynchronize","10","320426828","32042682","16.9940567631734"
"hipFree","9","148182864","16464762","7.85897990459651"
"hipModuleGetFunction","9","12255910","1361767","0.650000599276738"
"hipMalloc","9","9682308","1075812","0.513507850692601"
"hipModuleLaunchKernel","37","5962045","161136","0.31620114890815"
"hiprtcCreateProgram","8","4575158","571894","0.242646644907295"
"hipLaunchKernel","22","1740881","79130","0.0923288187714733"
"hipModuleLoadData","9","846791","94087","0.0449101419202775"
"hipStreamSynchronize","4","381770","95442","0.0202474339959971"
"hipModuleUnload","9","332570","36952","0.017638078225237"
"hiprtcDestroyProgram","8","222871","27858","0.0118201164631109"
"hipEventRecord","20","147690","7384","0.00783284052405586"
"hipStreamDestroy","1","111600","111600","0.00591878260196787"
"hipMemGetInfo","1","101410","101410","0.00537834895757672"
"hipMemcpy","3","94560","31520","0.00501505450575342"
"hipGetDevice","79","38590","488","0.0020466471380819"
"hipSetDevice","75","35850","478","0.00190132935735258"
"hipGetDeviceProperties","14","18540","1324","0.000983281625810791"
"hipEventElapsedTime","10","13990","1399","0.000741969252701886"
"__hipPopCallConfiguration","22","12180","553","0.0006459746603223"
"__hipPushCallConfiguration","22","11000","500","0.000583392550373177"
"hiprtcGetCode","8","9130","1141","0.000484215816809737"
"hipGetLastError","22","7970","362","0.000422694420588565"
"hipStreamCreate","1","7650","7650","0.000405723000941346"
"hiprtcGetCodeSize","8","3490","436","0.00018509454552749"
"hipEventDestroy","2","2750","1375","0.000145848137593294"
"hipEventCreate","2","2620","1310","0.000138953498361611"
"hipGetDeviceCount","1","2150","2150","0.000114026725754757"
"Total","433","1885522877","4354556","100.0"
