"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","1583913718","143992156","67.801"
"fft_rtc_back_len_4096_factors_16_16_16_wgs_256_tpt_256_halfLds_dim_1_dp_op_CI_CI_unitstride_sbrr_dirReg","11","246093133","22372103","10.534"
"fft_rtc_back_len_64_factors_8_8_wgs_256_tpt_8_dp_ip_CI_sbcc_twdbase8_3step_dirReg_intrinsicRead","11","225526568","20502415","9.654"
"c2r_even_pre_Ndiv4_dim1_dp_CI_CI","11","153059241","13914476","6.552"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_aligned","11","127332304","11575664","5.451"
"twiddle_gen_radices_dp","2","98238","49119","0.004"
"void impose_hermitian_symmetry_interleaved_1D_kernel<rocfft_complex<double> >(rocfft_complex<double>*, unsigned long, unsigned long, unsigned long, unsigned long, bool)","11","55199","5018","0.002"
"twiddle_gen_N_dp","1","33599","33599","0.001"
"twiddle_gen_large_dp","1","8000","8000","0.0"
"Total","70","2336120000","33373142","100.0"
