"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","198759971","18069088","72.792"
"fft_rtc_back_len_128_factors_16_8_wgs_256_tpt_16_dp_op_CI_CI_sbcc_twdbase5_3step_dirReg_intrinsicReadWrite","11","39927094","3629735","14.622"
"fft_rtc_back_len_256_factors_4_4_4_4_wgs_256_tpt_32_dp_op_CI_CI_unitstride_sbrc_aligned_dirReg","11","18958770","1723524","6.943"
"c2r_even_pre_Ndiv4_dim1_dp_CI_CI","11","15276769","1388797","5.595"
"twiddle_gen_radices_dp","2","52800","26400","0.019"
"void impose_hermitian_symmetry_interleaved_1D_kernel<rocfft_complex<double> >(rocfft_complex<double>*, unsigned long, unsigned long, unsigned long, unsigned long, bool)","11","53120","4829","0.019"
"twiddle_gen_N_dp","1","16159","16159","0.006"
"twiddle_gen_large_dp","1","8160","8160","0.003"
"Total","59","273052843","4628014","100.0"
