"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","792334481","72030407","66.985"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned","22","121601425","5527337","10.28"
"c2r_even_pre_Ndiv4_dim1_dp_CI_CI","11","73021703","6638336","6.173"
"fft_rtc_back_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg","11","66750337","6068212","5.643"
"fft_rtc_back_len_256_factors_4_4_4_4_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","11","64997257","5908841","5.495"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_back_diag_aligned","11","63980159","5816378","5.409"
"void impose_hermitian_symmetry_interleaved_1D_kernel<rocfft_complex<double> >(rocfft_complex<double>*, unsigned long, unsigned long, unsigned long, unsigned long, bool)","11","68480","6225","0.006"
"twiddle_gen_radices_dp","2","63519","31759","0.005"
"twiddle_gen_N_dp","1","25119","25119","0.002"
"twiddle_gen_large_dp","1","6880","6880","0.001"
"Total","92","1182849360","12857058","100.0"
