"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","1586167547","144197049","67.473"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned","22","226670048","10303184","9.642"
"c2r_even_pre_Ndiv4_dim1_dp_CI_CI","11","153580505","13961864","6.533"
"fft_rtc_back_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg","11","133248174","12113470","5.668"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_back_diag_aligned","11","127791495","11617408","5.436"
"fft_rtc_back_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","11","123182802","11198436","5.24"
"void impose_hermitian_symmetry_interleaved_1D_kernel<rocfft_complex<double> >(rocfft_complex<double>*, unsigned long, unsigned long, unsigned long, unsigned long, bool)","11","102559","9323","0.004"
"twiddle_gen_radices_dp","1","41599","41599","0.002"
"twiddle_gen_N_dp","1","31839","31839","0.001"
"twiddle_gen_large_dp","1","9440","9440","0.0"
"Total","91","2350826008","25833252","100.0"
