"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hiprtcCompileProgram","8","1448997789","181124723","78.5300748403486"
"hipEventSynchronize","10","256699295","25669929","13.9121087698324"
"hipFree","9","100915394","11212821","5.46922397226878"
"hipModuleGetFunction","9","11357242","1261915","0.615518581885117"
"hipMalloc","9","10417278","1157475","0.564576169255091"
"hiprtcCreateProgram","8","6305917","788239","0.341756307501879"
"hipModuleLaunchKernel","37","6263415","169281","0.339452863517214"
"hipLaunchKernel","22","1782602","81027","0.096610132557321"
"hipModuleLoadData","9","787801","87533","0.042695766659518"
"hipStreamSynchronize","4","411920","102980","0.0223244705228714"
"hipModuleUnload","9","308431","34270","0.0167157670611763"
"hiprtcDestroyProgram","8","251820","31477","0.0136476698559659"
"hipEventRecord","20","195910","9795","0.0106175641389972"
"hipStreamDestroy","1","97990","97990","0.00531067893410413"
"hipMemGetInfo","1","89620","89620","0.00485705731272999"
"hipMemcpy","3","78890","26296","0.00427553282081309"
"hipGetDevice","79","42620","539","0.00230983912819184"
"hipSetDevice","75","32360","431","0.00175378681812031"
"hipEventElapsedTime","10","31950","3195","0.00173156640417009"
"hipGetDeviceProperties","14","17560","1254","0.000951684070648724"
"__hipPopCallConfiguration","22","14820","673","0.000803186670103308"
"hiprtcGetCode","8","10190","1273","0.000552258580860507"
"hipStreamCreate","1","9560","9560","0.000518115017961378"
"__hipPushCallConfiguration","22","9230","419","0.000500230294538025"
"hipGetLastError","22","8120","369","0.000440072588477656"
"hipEventDestroy","2","4310","2155","0.000233585327135308"
"hiprtcGetCodeSize","8","4290","536","0.000232501404503589"
"hipEventCreate","2","2240","1120","0.000121399334752457"
"hipGetDeviceCount","1","1580","1580","8.56298879057508e-05"
"Total","433","1845150144","4261316","100.0"
