"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","3166392813","287853892","71.738"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned","22","459360503","20880022","10.407"
"fft_rtc_fwd_len_1024_factors_8_8_4_4_wgs_128_tpt_128_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg","11","284625566","25875051","6.449"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned","11","257117551","23374322","5.825"
"fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","11","246232036","22384730","5.579"
"twiddle_gen_radices_dp","2","70078","35039","0.002"
"twiddle_gen_large_dp","1","7840","7840","0.0"
"Total","69","4413806387","63968208","100.0"
