"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","1583385154","143944104","67.479"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned","22","225777181","10262599","9.622"
"c2r_even_pre_Ndiv4_dim1_dp_CI_CI","11","153275921","13934174","6.532"
"fft_rtc_back_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg","11","133128055","12102550","5.674"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_back_diag_aligned","11","127552499","11595681","5.436"
"fft_rtc_back_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","11","123202036","11200185","5.251"
"void impose_hermitian_symmetry_interleaved_1D_kernel<rocfft_complex<double> >(rocfft_complex<double>*, unsigned long, unsigned long, unsigned long, unsigned long, bool)","11","71839","6530","0.003"
"twiddle_gen_N_dp","1","35519","35519","0.002"
"twiddle_gen_radices_dp","1","41759","41759","0.002"
"twiddle_gen_large_dp","1","7040","7040","0.0"
"Total","91","2346477003","25785461","100.0"
