"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","396691156","36062832","72.364"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned","22","56011363","2545971","10.217"
"fft_rtc_fwd_len_256_factors_4_4_4_4_wgs_64_tpt_64_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg","11","32920372","2992761","6.005"
"fft_rtc_fwd_len_256_factors_4_4_4_4_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","11","32547425","2958856","5.937"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd2step_fwd_diag_aligned","11","29986518","2726047","5.47"
"twiddle_gen_radices_dp","1","25759","25759","0.005"
"twiddle_gen_large_dp","1","9600","9600","0.002"
"Total","68","548192193","8061649","100.0"
