"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hiprtcCompileProgram","8","1627391759","203423969","79.991476082053"
"hipEventSynchronize","10","270468175","27046817","13.2943702288153"
"hipFree","9","100922094","11213566","4.9606416056281"
"hipModuleGetFunction","9","11065249","1229472","0.543892148789885"
"hipMalloc","9","10325379","1147264","0.507525187312093"
"hipModuleLaunchKernel","37","6080646","164341","0.298883072488529"
"hiprtcCreateProgram","8","4279874","534984","0.210369406636033"
"hipLaunchKernel","22","1786181","81190","0.087796471838787"
"hipModuleLoadData","9","588880","65431","0.0289453231987267"
"hipStreamSynchronize","4","397420","99355","0.0195344558240014"
"hipModuleUnload","9","283370","31485","0.0139285359238269"
"hiprtcDestroyProgram","8","230560","28820","0.011332756617135"
"hipEventRecord","20","173070","8653","0.0085069404394845"
"hipStreamDestroy","1","107320","107320","0.00527511901522781"
"hipMemGetInfo","1","91670","91670","0.00450587178648838"
"hipMemcpy","3","79670","26556","0.00391603365582556"
"hipGetDevice","79","40490","512","0.00199021215921146"
"hipSetDevice","75","34131","455","0.00167764710313772"
"hipEventElapsedTime","10","28670","2867","0.00140922160050858"
"hipGetDeviceProperties","14","21020","1501","0.00103319979221104"
"hipStreamCreate","1","10640","10640","0.000522989809187699"
"__hipPopCallConfiguration","22","10440","474","0.000513159173676652"
"hiprtcGetCode","8","10380","1297","0.000510209983023338"
"__hipPushCallConfiguration","22","9900","450","0.000486616457796825"
"hipGetLastError","22","8000","363","0.000393225420441879"
"hiprtcGetCodeSize","8","3590","448","0.000176459907423293"
"hipEventDestroy","2","3560","1780","0.000174985312096636"
"hipEventCreate","2","2610","1305","0.000128289793419163"
"hipGetDeviceCount","1","1720","1720","8.4543465395004e-05"
"Total","433","2034456468","4698513","100.0"
