"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hiprtcCompileProgram","6","1620294613","270049102","45.0645098127415"
"hipEventSynchronize","10","1045583063","104558306","29.0803214579346"
"hipFree","8","887404869","110925608","24.6809840050521"
"hipMalloc","8","18640467","2330058","0.518438746445171"
"hipModuleGetFunction","7","10483199","1497599","0.291564398482896"
"hipModuleLaunchKernel","25","6077455","243098","0.169029464324952"
"hiprtcCreateProgram","6","3130223","521703","0.0870594544768563"
"hipLaunchKernel","11","1757411","159764","0.048878064901966"
"hipModuleLoadData","7","627150","89592","0.0174426348778219"
"hipStreamSynchronize","3","373230","124410","0.0103804745522594"
"hipModuleUnload","7","368391","52627","0.0102458896679833"
"hiprtcDestroyProgram","6","181520","30253","0.00504853238144342"
"hipEventRecord","20","154520","7726","0.00429759378349844"
"hipStreamDestroy","1","112470","112470","0.0031280764485508"
"hipMemGetInfo","1","89130","89130","0.00247893174943836"
"hipMemcpy","2","66190","33095","0.00184091206659178"
"hipGetDevice","75","33840","451","0.000941176376091038"
"hipSetDevice","72","32960","457","0.000916701340306165"
"hipEventElapsedTime","10","26300","2630","0.000731469819479737"
"hipGetDeviceProperties","14","19110","1365","0.000531497652101056"
"hipStreamCreate","1","9670","9670","0.00026894726822696"
"hiprtcGetCode","6","7720","1286","0.000214712813930934"
"__hipPopCallConfiguration","11","6930","630","0.000192740906805878"
"__hipPushCallConfiguration","11","6160","560","0.000171325250494113"
"hipGetLastError","11","3840","349","0.000106800156152175"
"hipEventDestroy","2","3060","1530","8.51063744337641e-05"
"hipEventCreate","2","2890","1445","8.03782425207772e-05"
"hiprtcGetCodeSize","6","2620","436","7.28688565413274e-05"
"hipGetDeviceCount","1","1360","1360","3.78250553038952e-05"
"Total","350","3595500361","10272858","100.0"
