Stage,Length,Factors,WGS,TPT,GPU_Time_ms
N=131072_Stage2_256_sbcc,256,"[4, 4, 4, 4]",256,64,11.552315
N=131072_Stage2_256_sbcc,256,"[4, 4, 4, 2, 2]",256,64,11.797779
N=131072_Stage2_256_sbcc,256,"[4, 4, 2, 2, 2, 2]",256,64,11.8951
N=131072_Stage2_256_sbcc,256,"[4, 2, 2, 2, 2, 2, 2]",512,128,12.040699
N=131072_Stage2_256_sbcc,256,"[4, 4, 2, 2, 2, 2]",512,128,12.050745
N=131072_Stage2_256_sbcc,256,"[2, 2, 2, 2, 2, 2, 2, 2]",512,128,12.136215
N=131072_Stage2_256_sbcc,256,"[8, 4, 2, 2, 2]",256,64,12.144751
N=131072_Stage2_256_sbcc,256,"[4, 2, 2, 2, 2, 2, 2]",256,64,12.243136
N=131072_Stage2_256_sbcc,256,"[8, 8, 2, 2]",128,32,12.295067
N=131072_Stage2_256_sbcc,256,"[8, 4, 4, 2]",256,64,12.341689
N=131072_Stage2_256_sbcc,256,"[8, 8, 4]",256,64,12.352154
N=131072_Stage2_256_sbcc,256,"[8, 2, 2, 2, 2, 2]",256,64,12.355758
N=131072_Stage2_256_sbcc,256,"[4, 4, 4, 2, 2]",512,128,12.48316
N=131072_Stage2_256_sbcc,256,"[8, 8, 2, 2]",256,64,12.496356
N=131072_Stage2_256_sbcc,256,"[2, 2, 2, 2, 2, 2, 2, 2]",256,64,12.599856
N=131072_Stage2_256_sbcc,256,"[8, 8, 4]",128,32,12.752377
N=131072_Stage2_256_sbcc,256,"[8, 2, 2, 2, 2, 2]",512,128,12.782901
N=131072_Stage2_256_sbcc,256,"[16, 4, 4]",128,32,12.865839
N=131072_Stage2_256_sbcc,256,"[8, 4, 4, 2]",128,32,12.932364
N=131072_Stage2_256_sbcc,256,"[8, 4, 2, 2, 2]",512,128,12.939206
N=131072_Stage2_256_sbcc,256,"[16, 8, 2]",128,32,12.999913
N=131072_Stage2_256_sbcc,256,"[8, 8, 4]",64,16,13.00721
N=131072_Stage2_256_sbcc,256,"[16, 4, 2, 2]",128,32,13.032249
N=131072_Stage2_256_sbcc,256,"[4, 4, 4, 2, 2]",512,64,13.059465
N=131072_Stage2_256_sbcc,256,"[4, 4, 4, 2, 2]",1024,64,13.060486
N=131072_Stage2_256_sbcc,256,"[8, 8, 4]",1024,64,13.06704
N=131072_Stage2_256_sbcc,256,"[8, 8, 4]",512,64,13.072164
N=131072_Stage2_256_sbcc,256,"[4, 4, 4, 4]",128,32,13.0958
