"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMalloc","10","15780423","1578042","43.3806622548598"
"hipModuleGetFunction","9","6373427","708158","17.520663678851"
"hipModuleLaunchKernel","10","6051545","605154","16.6358043612066"
"hipModuleLoadData","9","6046664","671851","16.6223864057776"
"hipMemcpy","5","1251051","250210","3.43916135167001"
"hipStreamSynchronize","4","377560","94390","1.03791912554846"
"hipModuleUnload","9","263850","29316","0.725328322057321"
"hipStreamDestroy","1","85980","85980","0.236360542469162"
"hipDeviceSynchronize","2","59500","29750","0.163566553581242"
"hipFree","10","39990","3999","0.109933218112838"
"hipGetDevice","35","17480","499","0.0480528295226908"
"hipSetDevice","23","13890","603","0.0381838559536714"
"hipGetDeviceProperties","2","8490","4245","0.0233391603345335"
"hipStreamCreate","1","6780","6780","0.0186383400551398"
"Total","130","36376630","279820","100.0"
