Stage,Length,Factors,WGS,TPT,Total_Time_ms
256K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",512,512,157.8734650909091
256K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",1024,512,158.73495618181818
256K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",1024,1024,159.78725863636365
256K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",512,256,160.2198990909091
256K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",256,256,161.559374
256K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",1024,256,167.27697218181817
256K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",128,128,172.309652
256K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",256,128,175.46188645454544
256K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",1024,128,189.0273549090909
256K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",512,128,189.908813
256K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",64,64,191.39037854545455
256K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",128,64,202.5688670909091
256K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",512,64,248.08995963636363
256K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",256,64,260.9118259090909
256K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",64,32,274.59225845454546
256K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",256,32,345.4849691818182
256K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",128,32,349.46629618181817
256K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",64,16,616.7157736363636
256K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",128,16,623.1204293636364
256K_d2z_z2d_512_sbrr,512,"[8, 4, 4, 2, 2]",256,128,671.570142
256K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 2, 2]",128,64,688.2377696363636
256K_d2z_z2d_512_sbrr,512,"[4, 4, 4, 4, 2]",256,128,689.8505547272728
256K_d2z_z2d_512_sbrr,512,"[8, 8, 8]",128,64,690.6828113636363
256K_d2z_z2d_512_sbrr,512,"[4, 4, 4, 2, 2, 2]",256,128,691.9148651818182
256K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 2, 2]",128,128,692.4547251818182
256K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 2, 2]",256,128,693.7909686363637
256K_d2z_z2d_256_sbrr,256,"[8, 4, 4, 2]",256,128,699.4562865454545
256K_d2z_z2d_512_sbrr,512,"[8, 4, 4, 4]",128,64,700.7376671818182
256K_d2z_z2d_256_sbrr,256,"[8, 8, 2, 2]",64,64,701.0695682727272
256K_d2z_z2d_512_sbrr,512,"[8, 4, 2, 2, 2, 2]",256,128,701.2318065454544
256K_d2z_z2d_256_sbrr,256,"[8, 2, 2, 2, 2, 2]",64,64,701.719795090909
256K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 4]",128,64,704.0641367272727
256K_d2z_z2d_512_sbrr,512,"[8, 8, 2, 2, 2]",256,128,704.069665
256K_d2z_z2d_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",64,64,704.3377870909092
256K_d2z_z2d_512_sbrr,512,"[8, 8, 2, 2, 2]",128,64,705.0797354545455
256K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 4]",64,64,705.2629778181818
256K_d2z_z2d_256_sbrr,256,"[8, 2, 2, 2, 2, 2]",128,128,705.4474947272728
256K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",256,128,705.7759675454545
256K_d2z_z2d_512_sbrr,512,"[4, 4, 4, 4, 2]",128,128,706.2287917272727
256K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",128,128,707.3619648181818
256K_d2z_z2d_512_sbrr,512,"[4, 4, 4, 4, 2]",512,128,708.2253441818182
256K_d2z_z2d_512_sbrr,512,"[4, 2, 2, 2, 2, 2, 2, 2]",256,256,708.8806562727273
