Mode,Stage,Length,Factors,WGS,TPT,GPU_Time_ms
d2z,N=65536_Stage2_128_sbcc,128,"[8, 4, 4]",256,32,2.535603
d2z,N=65536_Stage1_256_sbrc,256,"[16, 8, 2]",128,32,2.536725
d2z,N=65536_Stage1_256_sbrc,256,"[16, 4, 4]",128,32,2.53744
d2z,N=65536_Stage1_256_sbrc,256,"[16, 16]",64,16,2.547094
d2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 4]",128,32,2.552258
d2z,N=65536_Stage1_256_sbrc,256,"[8, 4, 4, 2]",128,32,2.55603
d2z,N=65536_Stage2_128_sbcc,128,"[8, 4, 2, 2]",256,32,2.561102
d2z,N=65536_Stage1_256_sbrc,256,"[8, 4, 4, 2]",256,64,2.566792
d2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 4]",64,16,2.569043
d2z,N=65536_Stage1_256_sbrc,256,"[16, 8, 2]",64,16,2.572813
d2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 4]",128,32,2.579607
d2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 4]",256,64,2.580728
d2z,N=65536_Stage1_256_sbrc,256,"[16, 4, 2, 2]",128,32,2.581244
d2z,N=65536_Stage1_256_sbrc,256,"[16, 4, 4]",64,16,2.584624
d2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 2, 2]",256,64,2.585481
d2z,N=65536_Stage2_128_sbcc,128,"[4, 4, 4, 2]",256,32,2.587721
d2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 4]",512,64,2.588217
d2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 4]",1024,64,2.589353
d2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 4]",64,16,2.591213
d2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 2, 2]",128,32,2.602629
d2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 4]",256,32,2.603853
d2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 4]",512,32,2.60672
d2z,N=65536_Stage2_128_sbcc,128,"[16, 4, 2]",256,32,2.607415
d2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 4]",512,32,2.607488
d2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 4]",256,32,2.607548
d2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 2, 2]",128,32,2.608012
d2z,N=65536_Stage1_256_sbrc,256,"[16, 4, 4]",256,64,2.608462
d2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 2, 2, 2, 2]",256,64,2.609757
d2z,N=65536_Stage2_128_sbcc,128,"[8, 8, 2]",512,64,2.615517
d2z,N=65536_Stage2_128_sbcc,128,"[16, 2, 2, 2]",512,64,2.617552
d2z,N=65536_Stage2_128_sbcc,128,"[4, 4, 2, 2, 2]",256,32,2.620491
d2z,N=65536_Stage2_128_sbcc,128,"[16, 2, 2, 2]",256,32,2.621903
d2z,N=65536_Stage1_256_sbrc,256,"[16, 16]",256,16,2.624159
d2z,N=65536_Stage1_256_sbrc,256,"[8, 4, 2, 2, 2]",256,64,2.624811
d2z,N=65536_Stage2_128_sbcc,128,"[8, 2, 2, 2, 2]",512,64,2.625669
d2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 4]",256,64,2.626345
d2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 2, 2]",512,32,2.628128
d2z,N=65536_Stage1_256_sbrc,256,"[16, 16]",128,16,2.628812
d2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 2, 2, 2, 2]",512,128,2.629292
d2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 2, 2]",64,16,2.629888
d2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 2, 2]",256,32,2.631692
d2z,N=65536_Stage2_128_sbcc,128,"[16, 8]",128,16,2.632287
d2z,N=65536_Stage1_256_sbrc,256,"[8, 4, 4, 2]",512,32,2.632392
d2z,N=65536_Stage2_128_sbcc,128,"[8, 2, 2, 2, 2]",256,32,2.632986
d2z,N=65536_Stage1_256_sbrc,256,"[8, 4, 4, 2]",256,32,2.633004
d2z,N=65536_Stage2_128_sbcc,128,"[8, 8, 2]",256,32,2.634048
d2z,N=65536_Stage2_128_sbcc,128,"[4, 2, 2, 2, 2, 2]",256,32,2.636058
d2z,N=65536_Stage1_256_sbrc,256,"[16, 4, 4]",512,32,2.636612
d2z,N=65536_Stage1_256_sbrc,256,"[16, 4, 4]",256,32,2.636756
d2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 2, 2]",64,16,2.637059
d2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 4]",256,16,2.640084
d2z,N=65536_Stage2_128_sbcc,128,"[8, 4, 2, 2]",512,64,2.641116
d2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 4]",128,16,2.642469
d2z,N=65536_Stage2_128_sbcc,128,"[4, 4, 2, 2, 2]",512,64,2.643605
d2z,N=65536_Stage2_128_sbcc,128,"[4, 4, 4, 2]",512,64,2.643634
d2z,N=65536_Stage1_256_sbrc,256,"[4, 2, 2, 2, 2, 2, 2]",256,128,2.644143
d2z,N=65536_Stage2_128_sbcc,128,"[16, 4, 2]",128,16,2.647793
d2z,N=65536_Stage1_256_sbrc,256,"[16, 2, 2, 2, 2]",128,32,2.648186
d2z,N=65536_Stage2_128_sbcc,128,"[4, 2, 2, 2, 2, 2]",512,64,2.648492
d2z,N=65536_Stage1_256_sbrc,256,"[8, 4, 4, 2]",64,16,2.64977
d2z,N=65536_Stage2_128_sbcc,128,"[16, 4, 2]",512,64,2.652436
d2z,N=65536_Stage2_128_sbcc,128,"[8, 4, 4]",512,64,2.653088
d2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 2, 2]",256,64,2.653233
d2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 2, 2]",512,128,2.654193
d2z,N=65536_Stage1_256_sbrc,256,"[8, 4, 2, 2, 2]",64,32,2.656158
d2z,N=65536_Stage1_256_sbrc,256,"[16, 4, 2, 2]",64,16,2.65712
d2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 2, 2, 2, 2]",64,32,2.657699
d2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 4]",256,16,2.659909
d2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 4]",128,16,2.660434
d2z,N=65536_Stage1_256_sbrc,256,"[16, 4, 4]",512,64,2.660887
d2z,N=65536_Stage1_256_sbrc,256,"[8, 4, 4, 2]",64,32,2.661192
d2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 2, 2, 2, 2]",128,32,2.661959
d2z,N=65536_Stage1_256_sbrc,256,"[4, 2, 2, 2, 2, 2, 2]",128,64,2.662572
d2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 2, 2]",64,32,2.663023
d2z,N=65536_Stage1_256_sbrc,256,"[2, 2, 2, 2, 2, 2, 2, 2]",256,64,2.6665
d2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 2, 2]",1024,64,2.667081
