"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"fft_rtc_fwd_len_128_factors_16_8_wgs_256_tpt_16_dp_op_CI_CI_sbcc_twdbase5_3step_dirReg_intrinsicReadWrite","10001","153364392","15334","47.623"
"fft_rtc_fwd_len_256_factors_4_4_4_4_wgs_256_tpt_32_dp_op_CI_CI_unitstride_sbrc_aligned_dirReg","10001","111736339","11172","34.696"
"r2c_even_post_Ndiv4_dim1_dp_CI_CI","10001","56864138","5685","17.657"
"twiddle_gen_radices_dp","2","54399","27199","0.017"
"twiddle_gen_N_dp","1","14560","14560","0.005"
"twiddle_gen_large_dp","1","6560","6560","0.002"
"Total","30007","322040388","10732","100.0"
