"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMalloc","13","12076283","928944","29.8433886507136"
"hipModuleGetFunction","14","10894558","778182","26.9230630461161"
"hipModuleLaunchKernel","307","7855476","25587","19.4127632901906"
"hipModuleLoadData","14","7128984","509213","17.617427497908"
"hipMemcpy","7","868690","124098","2.14674111951404"
"hipModuleUnload","14","532091","38006","1.31492434472982"
"hipStreamSynchronize","4","363750","90937","0.898913400894717"
"hipDeviceSynchronize","2","303490","151745","0.74999650319598"
"hipGetDevice","449","197650","440","0.488440504981006"
"hipStreamDestroy","1","92770","92770","0.229256896772517"
"hipSetDevice","234","91190","389","0.225352338220177"
"hipFree","13","46820","3601","0.115703437607947"
"hipGetDeviceProperties","3","7660","2553","0.0189296952600784"
"hipStreamCreate","1","6110","6110","0.0150992738954412"
"Total","1076","40465522","37607","100.0"
