"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipEventSynchronize","1","1220003858","1220003858","61.6445855752009"
"hiprtcCompileProgram","2","400347244","200173622","20.2288212293127"
"hipMemcpy","15","180979241","12065282","9.14455330284652"
"hipFree","23","75467724","3281205","3.81324742522547"
"hipMalloc","23","27036383","1175494","1.36609947137348"
"hipModuleLoadData","24","26812460","1117185","1.35478504769749"
"hipModuleLaunchKernel","713","14349264","20125","0.725042324078576"
"hipModuleGetFunction","24","12756530","531522","0.644564359424851"
"hipDeviceSynchronize","1","12533621","12533621","0.633301171332554"
"hipStreamSynchronize","6","3570943","595157","0.180433282980376"
"hipModuleUnload","24","3346372","139432","0.169086117037882"
"hiprtcCreateProgram","2","907521","453760","0.0458553926522025"
"hipStreamDestroy","1","319141","319141","0.0161256167806768"
"hipGetDevice","885","312080","352","0.0157688372378153"
"hipSetDevice","262","111900","427","0.00565410435436916"
"hipEventElapsedTime","1","111560","111560","0.00563692477009315"
"hipEventDestroy","2","47910","23955","0.00242080553724599"
"hiprtcDestroyProgram","2","38490","19245","0.00194482999642242"
"hipEventRecord","2","19270","9635","0.000973678202937388"
"hipStreamCreate","1","8500","8500","0.000429489606900249"
"hipGetDeviceProperties","3","7450","2483","0.000376435008400807"
"hipEventCreate","2","2640","1320","0.000133394419084313"
"hiprtcGetCode","2","2200","1100","0.000111162015903594"
"hiprtcGetCodeSize","2","990","495","5.00229071566173e-05"
"Total","2023","1979093292","978296","100.0"
