"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hiprtcCompileProgram","8","2484392844","310549105","59.4664080638012"
"hiprtcCreateProgram","8","1258530210","157316276","30.1241694562221"
"hipModuleLoadData","9","296863178","32984797","7.10571475227807"
"hipModuleGetFunction","9","83571290","9285698","2.00036175662011"
"hipMalloc","10","31665266","3166526","0.757939564168545"
"hipModuleLaunchKernel","307","19005794","61908","0.454922539448655"
"hipMemcpy","5","1542531","308506","0.0369220101879602"
"hipStreamSynchronize","4","504842","126210","0.0120838942409003"
"hipDeviceSynchronize","2","476400","238200","0.0114031067469919"
"hipModuleUnload","9","463270","51474","0.011088827167672"
"hiprtcDestroyProgram","8","307850","38481","0.00736869523942374"
"hipGetDevice","230","124350","540","0.00297644064649129"
"hipStreamDestroy","1","121660","121660","0.00291205282711805"
"hipSetDevice","223","118710","532","0.00284144164973848"
"hipFree","10","63920","6392","0.00152998862986508"
"hipStreamCreate","1","21620","21620","0.000517496154219072"
"hiprtcGetCode","8","15050","1881","0.000360236684597458"
"hipGetDeviceProperties","3","12600","4200","0.000301593503383918"
"hiprtcGetCodeSize","8","4500","562","0.000107711965494256"
"hipGetDeviceCount","1","2940","2940","7.03718174562475e-05"
"Total","864","4177808825","4835426","100.0"
