Mode,Stage,Length,Factors,WGS,TPT,GPU_Time_ms
z2d,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",64,16,30.039232
z2d,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",64,32,27.894323
z2d,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",64,64,31.192342
z2d,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",128,16,30.029472
z2d,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",128,32,28.415541
z2d,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",128,64,28.32746
z2d,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",128,128,32.642488
z2d,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",256,32,28.412593
z2d,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",256,64,27.841621
z2d,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",256,128,28.26078
z2d,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",256,256,31.818678
z2d,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",512,64,27.848316
z2d,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",512,128,29.659166
z2d,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",512,256,29.353121
z2d,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",512,512,36.650602
z2d,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",1024,128,29.649565
z2d,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",1024,256,31.230524
z2d,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",1024,512,37.438533
z2d,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",64,16,30.237176
z2d,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",64,32,28.21582
z2d,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",64,64,30.603358
z2d,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",128,16,30.241703
z2d,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",128,32,28.174428
z2d,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",128,64,28.307415
z2d,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",128,128,30.834879
z2d,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",256,32,28.174099
z2d,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",256,64,27.850613
z2d,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",256,128,28.04065
z2d,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",256,256,31.128705
z2d,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",512,64,27.850701
