Stage,Length,Factors,WGS,TPT,Total_Time_ms
512K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",1024,256,114.14179054545454
512K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",512,256,134.66275609090908
512K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",256,256,134.7461608181818
512K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",1024,1024,137.50532018181818
512K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",512,512,138.21524881818183
512K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",1024,512,140.94968772727273
512K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",1024,128,147.30931845454546
512K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",512,128,148.268981
512K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",128,128,152.8998620909091
512K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",256,128,158.73022527272727
512K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",64,64,189.9495658181818
512K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",128,64,206.49007127272728
512K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",256,64,211.839813
512K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",512,64,213.11833872727274
512K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",64,32,309.11883790909087
512K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",128,32,352.3034457272727
512K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",256,32,352.67500154545456
512K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",128,16,778.1527229999999
512K_d2z_z2d_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",64,16,780.9533127272728
512K_d2z_z2d_512_sbrr,512,"[4, 4, 4, 4, 2]",256,128,1138.3491190909092
512K_d2z_z2d_512_sbrr,512,"[4, 4, 4, 2, 2, 2]",128,128,1138.8429205454545
512K_d2z_z2d_512_sbrr,512,"[8, 8, 8]",64,64,1139.0447374545454
512K_d2z_z2d_512_sbrr,512,"[8, 8, 8]",128,64,1140.7933725454545
512K_d2z_z2d_512_sbrr,512,"[8, 4, 4, 2, 2]",128,128,1140.9148228181818
512K_d2z_z2d_512_sbrr,512,"[8, 4, 4, 4]",128,128,1141.3216965454544
512K_d2z_z2d_512_sbrr,512,"[8, 4, 4, 4]",256,128,1141.5255636363636
512K_d2z_z2d_512_sbrr,512,"[4, 4, 4, 2, 2, 2]",256,128,1142.9953189090909
512K_d2z_z2d_512_sbrr,512,"[8, 4, 4, 4]",64,64,1145.089566090909
512K_d2z_z2d_512_sbrr,512,"[8, 8, 4, 2]",64,64,1147.1868162727274
512K_d2z_z2d_512_sbrr,512,"[4, 4, 2, 2, 2, 2, 2]",128,128,1147.325056909091
512K_d2z_z2d_512_sbrr,512,"[4, 4, 4, 4, 2]",128,128,1148.3288734545454
512K_d2z_z2d_512_sbrr,512,"[4, 2, 2, 2, 2, 2, 2, 2]",256,256,1149.0108176363635
512K_d2z_z2d_512_sbrr,512,"[8, 8, 4, 2]",128,64,1149.4502156363637
512K_d2z_z2d_512_sbrr,512,"[4, 4, 2, 2, 2, 2, 2]",256,128,1149.5641541818181
512K_d2z_z2d_512_sbrr,512,"[8, 4, 2, 2, 2, 2]",128,128,1149.8594950909091
512K_d2z_z2d_512_sbrr,512,"[4, 4, 4, 4, 2]",64,64,1152.7481543636363
512K_d2z_z2d_512_sbrr,512,"[8, 4, 4, 2, 2]",256,128,1153.3580543636363
512K_d2z_z2d_512_sbrr,512,"[8, 4, 4, 2, 2]",64,64,1153.5724896363636
512K_d2z_z2d_512_sbrr,512,"[8, 4, 4, 4]",128,64,1153.651632909091
512K_d2z_z2d_512_sbrr,512,"[8, 8, 2, 2, 2]",64,64,1155.2550189090907
512K_d2z_z2d_512_sbrr,512,"[4, 2, 2, 2, 2, 2, 2, 2]",128,128,1155.952776909091
512K_d2z_z2d_512_sbrr,512,"[8, 4, 2, 2, 2, 2]",256,128,1156.4887876363637
512K_d2z_z2d_512_sbrr,512,"[4, 4, 2, 2, 2, 2, 2]",256,256,1156.5891040000001
512K_d2z_z2d_512_sbrr,512,"[8, 2, 2, 2, 2, 2, 2]",128,128,1156.7822124545455
512K_d2z_z2d_512_sbrr,512,"[4, 2, 2, 2, 2, 2, 2, 2]",256,128,1160.5487651818182
512K_d2z_z2d_512_sbrr,512,"[4, 2, 2, 2, 2, 2, 2, 2]",512,256,1161.035523
512K_d2z_z2d_512_sbrr,512,"[4, 4, 4, 4, 2]",128,64,1161.2570844545453
512K_d2z_z2d_512_sbrr,512,"[8, 8, 2, 2, 2]",128,64,1161.5603937272726
512K_d2z_z2d_512_sbrr,512,"[8, 4, 4, 2, 2]",128,64,1165.883546818182
512K_d2z_z2d_512_sbrr,512,"[8, 2, 2, 2, 2, 2, 2]",256,128,1166.4391507272726
512K_d2z_z2d_512_sbrr,512,"[8, 2, 2, 2, 2, 2, 2]",256,256,1167.432261
512K_d2z_z2d_512_sbrr,512,"[4, 4, 4, 2, 2, 2]",64,64,1168.3495911818181
512K_d2z_z2d_512_sbrr,512,"[4, 4, 4, 2, 2, 2]",128,64,1168.4062743636364
512K_d2z_z2d_512_sbrr,512,"[8, 4, 2, 2, 2, 2]",64,64,1168.9457149090908
512K_d2z_z2d_512_sbrr,512,"[4, 4, 4, 2, 2, 2]",256,256,1170.2334196363636
512K_d2z_z2d_512_sbrr,512,"[8, 4, 2, 2, 2, 2]",128,64,1173.5958828181817
512K_d2z_z2d_512_sbrr,512,"[8, 2, 2, 2, 2, 2, 2]",64,64,1175.193758181818
512K_d2z_z2d_512_sbrr,512,"[8, 8, 4, 2]",256,128,1176.2883644545454
512K_d2z_z2d_512_sbrr,512,"[4, 4, 2, 2, 2, 2, 2]",512,256,1176.905080818182
512K_d2z_z2d_512_sbrr,512,"[4, 4, 2, 2, 2, 2, 2]",64,64,1178.7211573636364
512K_d2z_z2d_512_sbrr,512,"[8, 8, 2, 2, 2]",128,128,1180.2099175454546
512K_d2z_z2d_512_sbrr,512,"[8, 2, 2, 2, 2, 2, 2]",128,64,1180.8319521818182
512K_d2z_z2d_512_sbrr,512,"[8, 8, 8]",64,32,1182.4861952727274
512K_d2z_z2d_512_sbrr,512,"[8, 8, 2, 2, 2]",256,128,1183.3556364545457
512K_d2z_z2d_512_sbrr,512,"[8, 8, 4, 2]",128,128,1183.8992726363635
512K_d2z_z2d_512_sbrr,512,"[16, 8, 4]",64,64,1185.7489516363635
512K_d2z_z2d_512_sbrr,512,"[4, 4, 2, 2, 2, 2, 2]",128,64,1186.6768717272728
512K_d2z_z2d_512_sbrr,512,"[16, 4, 4, 2]",64,64,1188.4196726363637
512K_d2z_z2d_512_sbrr,512,"[4, 2, 2, 2, 2, 2, 2, 2]",64,64,1188.4279902727271
512K_d2z_z2d_512_sbrr,512,"[16, 8, 2, 2]",64,64,1190.401549
512K_d2z_z2d_512_sbrr,512,"[16, 8, 4]",128,64,1191.9985731818183
512K_d2z_z2d_512_sbrr,512,"[4, 4, 4, 4, 2]",256,256,1193.7769322727272
512K_d2z_z2d_512_sbrr,512,"[16, 16, 2]",64,32,1194.5647423636365
512K_d2z_z2d_512_sbrr,512,"[16, 8, 4]",64,32,1195.5405499090907
512K_d2z_z2d_512_sbrr,512,"[8, 8, 8]",128,128,1195.7035602727274
512K_d2z_z2d_512_sbrr,512,"[8, 8, 8]",256,128,1197.508941272727
512K_d2z_z2d_512_sbrr,512,"[4, 4, 4, 2, 2, 2]",512,256,1199.267495181818
512K_d2z_z2d_512_sbrr,512,"[8, 4, 4, 4]",64,32,1200.9160283636365
512K_d2z_z2d_512_sbrr,512,"[16, 4, 2, 2, 2]",64,64,1201.4127892727272
512K_d2z_z2d_512_sbrr,512,"[16, 4, 4, 2]",128,64,1201.4136534545455
512K_d2z_z2d_512_sbrr,512,"[8, 4, 2, 2, 2, 2]",256,256,1202.1978305454545
512K_d2z_z2d_512_sbrr,512,"[8, 8, 4, 2]",64,32,1204.4117674545455
512K_d2z_z2d_512_sbrr,512,"[4, 2, 2, 2, 2, 2, 2, 2]",128,64,1204.5810290909092
512K_d2z_z2d_512_sbrr,512,"[16, 2, 2, 2, 2, 2]",64,64,1207.263652181818
512K_d2z_z2d_512_sbrr,512,"[16, 8, 2, 2]",128,64,1207.8246987272728
512K_d2z_z2d_512_sbrr,512,"[16, 4, 4, 2]",64,32,1207.8984922727273
512K_d2z_z2d_512_sbrr,512,"[16, 8, 2, 2]",64,32,1209.480688909091
512K_d2z_z2d_512_sbrr,512,"[16, 4, 4, 2]",128,128,1210.8300064545456
512K_d2z_z2d_512_sbrr,512,"[16, 4, 2, 2, 2]",128,64,1212.7217260909092
512K_d2z_z2d_512_sbrr,512,"[4, 4, 4, 4, 2]",512,256,1214.6133705454545
512K_d2z_z2d_512_sbrr,512,"[8, 2, 2, 2, 2, 2, 2]",512,256,1214.9456244545454
512K_d2z_z2d_512_sbrr,512,"[8, 8, 2, 2, 2]",64,32,1222.5504700909091
512K_d2z_z2d_512_sbrr,512,"[16, 4, 2, 2, 2]",128,128,1222.9135455454543
512K_d2z_z2d_512_sbrr,512,"[8, 4, 4, 2, 2]",64,32,1223.453195181818
512K_d2z_z2d_512_sbrr,512,"[8, 4, 4, 4]",256,256,1227.872389272727
512K_d2z_z2d_512_sbrr,512,"[8, 4, 4, 2, 2]",256,256,1228.6329835454544
512K_d2z_z2d_512_sbrr,512,"[16, 4, 2, 2, 2]",64,32,1229.0546736363635
512K_d2z_z2d_512_sbrr,512,"[16, 2, 2, 2, 2, 2]",128,128,1229.5846352727272
512K_d2z_z2d_512_sbrr,512,"[16, 4, 4, 2]",256,128,1231.8635379090908
512K_d2z_z2d_512_sbrr,512,"[4, 4, 4, 4, 2]",64,32,1232.8835811818183
512K_d2z_z2d_512_sbrr,512,"[8, 4, 2, 2, 2, 2]",64,32,1237.2293415454546
512K_d2z_z2d_512_sbrr,512,"[8, 8, 8]",256,32,1237.5755940909091
512K_d2z_z2d_512_sbrr,512,"[16, 2, 2, 2, 2, 2]",128,64,1239.8768623636363
512K_d2z_z2d_512_sbrr,512,"[16, 16, 2]",64,64,1241.7064397272727
512K_d2z_z2d_512_sbrr,512,"[8, 8, 8]",128,32,1241.7691916363638
512K_d2z_z2d_512_sbrr,512,"[8, 8, 2, 2, 2]",256,256,1246.2239612727271
512K_d2z_z2d_512_sbrr,512,"[4, 4, 4, 2, 2, 2]",64,32,1246.7686763636364
512K_d2z_z2d_512_sbrr,512,"[8, 4, 2, 2, 2, 2]",512,256,1247.6999354545455
512K_d2z_z2d_512_sbrr,512,"[16, 4, 2, 2, 2]",256,128,1248.4999784545453
512K_d2z_z2d_512_sbrr,512,"[8, 8, 8]",512,64,1253.1524695454546
512K_d2z_z2d_512_sbrr,512,"[16, 16, 2]",256,32,1254.1550788181817
512K_d2z_z2d_512_sbrr,512,"[4, 2, 2, 2, 2, 2, 2, 2]",512,512,1254.554486
512K_d2z_z2d_512_sbrr,512,"[16, 2, 2, 2, 2, 2]",64,32,1254.851971181818
512K_d2z_z2d_512_sbrr,512,"[8, 4, 4, 4]",256,32,1254.9180666363636
512K_d2z_z2d_512_sbrr,512,"[16, 8, 4]",256,32,1256.425310090909
512K_d2z_z2d_512_sbrr,512,"[16, 2, 2, 2, 2, 2]",256,128,1257.408204181818
512K_d2z_z2d_512_sbrr,512,"[8, 8, 4, 2]",256,32,1259.423514727273
512K_d2z_z2d_512_sbrr,512,"[8, 4, 4, 4]",128,32,1264.582311181818
512K_d2z_z2d_512_sbrr,512,"[8, 2, 2, 2, 2, 2, 2]",64,32,1264.9655356363637
512K_d2z_z2d_512_sbrr,512,"[16, 8, 4]",128,32,1266.6585226363636
512K_d2z_z2d_512_sbrr,512,"[8, 8, 4, 2]",128,32,1267.044836090909
512K_d2z_z2d_512_sbrr,512,"[8, 4, 4, 2, 2]",512,256,1267.064379
512K_d2z_z2d_512_sbrr,512,"[16, 16, 2]",128,32,1267.3636381818183
512K_d2z_z2d_512_sbrr,512,"[8, 8, 8]",256,64,1268.262057
512K_d2z_z2d_512_sbrr,512,"[16, 8, 4]",128,128,1270.9112141818182
512K_d2z_z2d_512_sbrr,512,"[16, 4, 4, 2]",256,32,1276.8757299090912
512K_d2z_z2d_512_sbrr,512,"[16, 8, 2, 2]",128,128,1278.4982724545455
512K_d2z_z2d_512_sbrr,512,"[16, 8, 2, 2]",256,32,1278.8990211818182
512K_d2z_z2d_512_sbrr,512,"[16, 8, 4]",256,128,1279.242451
512K_d2z_z2d_512_sbrr,512,"[8, 8, 4, 2]",256,64,1280.1147835454547
512K_d2z_z2d_512_sbrr,512,"[8, 8, 2, 2, 2]",256,64,1280.9129771818184
512K_d2z_z2d_512_sbrr,512,"[4, 4, 4, 4, 2]",1024,128,1281.0675921818183
512K_d2z_z2d_512_sbrr,512,"[8, 4, 4, 4]",512,256,1282.5253936363638
512K_d2z_z2d_512_sbrr,512,"[16, 8, 2, 2]",128,32,1283.3978209090908
512K_d2z_z2d_512_sbrr,512,"[8, 4, 4, 4]",256,64,1283.5061477272727
512K_d2z_z2d_512_sbrr,512,"[4, 2, 2, 2, 2, 2, 2, 2]",1024,512,1283.5357523636362
512K_d2z_z2d_512_sbrr,512,"[8, 8, 2, 2, 2]",512,64,1284.7346365454546
512K_d2z_z2d_512_sbrr,512,"[16, 4, 4, 2]",128,32,1285.7336205454544
512K_d2z_z2d_512_sbrr,512,"[4, 4, 2, 2, 2, 2, 2]",512,512,1286.117001090909
512K_d2z_z2d_512_sbrr,512,"[16, 8, 2, 2]",256,128,1287.0687456363635
512K_d2z_z2d_512_sbrr,512,"[16, 16, 2]",128,64,1288.8980023636364
