Mode,Stage,Length,Factors,WGS,TPT,GPU_Time_ms
z2z,N=131072_Stage2_256_sbcc,256,"[8, 4, 4, 2]",512,128,8.375219
z2z,N=131072_Stage2_256_sbcc,256,"[4, 4, 4, 4]",256,64,8.380849
z2z,N=131072_Stage2_256_sbcc,256,"[16, 4, 4]",256,64,8.389333
z2z,N=131072_Stage2_256_sbcc,256,"[8, 8, 4]",256,64,8.414593
z2z,N=131072_Stage2_256_sbcc,256,"[8, 4, 2, 2, 2]",256,64,8.43324
z2z,N=131072_Stage2_256_sbcc,256,"[8, 4, 4, 2]",256,64,8.437622
z2z,N=131072_Stage2_256_sbcc,256,"[16, 4, 2, 2]",256,64,8.439304
z2z,N=131072_Stage2_256_sbcc,256,"[4, 4, 4, 2, 2]",256,64,8.443319
z2z,N=131072_Stage2_256_sbcc,256,"[4, 4, 2, 2, 2, 2]",512,128,8.452526
z2z,N=131072_Stage2_256_sbcc,256,"[16, 8, 2]",256,64,8.454158
z2z,N=131072_Stage2_256_sbcc,256,"[4, 4, 2, 2, 2, 2]",256,64,8.456908
z2z,N=131072_Stage2_256_sbcc,256,"[8, 2, 2, 2, 2, 2]",256,64,8.466698
z2z,N=131072_Stage2_256_sbcc,256,"[8, 8, 2, 2]",512,128,8.494222
z2z,N=131072_Stage2_256_sbcc,256,"[16, 2, 2, 2, 2]",512,128,8.495614
z2z,N=131072_Stage2_256_sbcc,256,"[8, 4, 2, 2, 2]",512,128,8.504661
z2z,N=131072_Stage2_256_sbcc,256,"[16, 2, 2, 2, 2]",256,64,8.508098
z2z,N=131072_Stage2_256_sbcc,256,"[8, 2, 2, 2, 2, 2]",512,128,8.513579
z2z,N=131072_Stage2_256_sbcc,256,"[8, 8, 2, 2]",256,64,8.535369
z2z,N=131072_Stage2_256_sbcc,256,"[16, 8, 2]",512,128,8.545798
z2z,N=131072_Stage2_256_sbcc,256,"[4, 2, 2, 2, 2, 2, 2]",256,64,8.54583
z2z,N=131072_Stage2_256_sbcc,256,"[16, 16]",64,16,8.548063
