Stage,Length,Factors,WGS,TPT,Total_Time_ms
512K_z2z_1024_sbrr,1024,"[8, 2, 2, 2, 2, 2, 2, 2]",512,256,62.82143245454545
512K_z2z_1024_sbrr,1024,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",256,256,62.88577518181818
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 2, 2, 2, 2]",512,256,62.927094454545454
512K_z2z_1024_sbrr,1024,"[8, 8, 8, 2]",256,128,63.42066563636363
512K_z2z_1024_sbrr,1024,"[4, 4, 2, 2, 2, 2, 2, 2]",512,256,63.42968109090909
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 4]",128,128,63.43542645454545
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 2, 2]",512,512,63.4995330909091
512K_z2z_1024_sbrr,1024,"[8, 8, 8, 2]",128,128,63.77325318181818
512K_z2z_1024_sbrr,1024,"[16, 2, 2, 2, 2, 2, 2]",512,512,64.16161445454546
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 4]",256,128,64.37834281818182
512K_z2z_1024_sbrr,1024,"[16, 4, 2, 2, 2, 2]",512,512,64.394552
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 4]",256,256,64.52160927272728
512K_z2z_1024_sbrr,1024,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",512,256,64.73161581818182
512K_z2z_1024_sbrr,1024,"[4, 2, 2, 2, 2, 2, 2, 2, 2]",512,256,64.81143781818182
512K_z2z_1024_sbrr,1024,"[16, 2, 2, 2, 2, 2, 2]",1024,512,64.83660772727272
512K_z2z_1024_sbrr,1024,"[8, 8, 8, 2]",512,256,64.85001945454545
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 2, 2]",256,256,65.25574627272728
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 2, 2]",512,512,65.32332545454545
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 4]",512,256,65.34569536363637
512K_z2z_1024_sbrr,1024,"[16, 2, 2, 2, 2, 2, 2]",1024,1024,65.591972
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 2, 2]",128,128,65.6945630909091
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 2, 2]",1024,1024,65.71226845454545
512K_z2z_1024_sbrr,1024,"[16, 4, 2, 2, 2, 2]",1024,1024,65.90624581818182
512K_z2z_1024_sbrr,1024,"[8, 4, 4, 4, 2]",128,128,66.0591269090909
512K_z2z_1024_sbrr,1024,"[16, 8, 2, 2, 2]",512,512,66.07305418181818
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 4]",512,512,66.121827
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 4]",1024,1024,66.18583972727272
512K_z2z_1024_sbrr,1024,"[16, 4, 2, 2, 2, 2]",1024,512,66.2152280909091
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 4]",128,128,66.285789
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 2, 2]",512,256,66.36878172727273
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 2, 2]",1024,512,66.39627536363636
512K_z2z_1024_sbrr,1024,"[16, 4, 2, 2, 2, 2]",256,256,66.73309472727273
512K_z2z_1024_sbrr,1024,"[16, 2, 2, 2, 2, 2, 2]",256,256,67.11320236363636
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 2, 2]",128,128,67.55385645454545
512K_z2z_1024_sbrr,1024,"[16, 4, 2, 2, 2, 2]",512,256,67.78312563636364
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 4]",1024,512,67.78382481818181
512K_z2z_1024_sbrr,1024,"[16, 8, 8]",128,128,67.83949854545455
512K_z2z_1024_sbrr,1024,"[16, 8, 4, 2]",1024,1024,68.070884
512K_z2z_1024_sbrr,1024,"[8, 4, 4, 4, 2]",256,128,68.15308318181819
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 4]",256,128,68.159166
512K_z2z_1024_sbrr,1024,"[8, 8, 2, 2, 2, 2]",128,128,68.18917963636365
512K_z2z_1024_sbrr,1024,"[16, 8, 4, 2]",512,512,68.2401279090909
512K_z2z_1024_sbrr,1024,"[8, 4, 4, 2, 2, 2]",128,128,68.48231445454546
512K_z2z_1024_sbrr,1024,"[16, 8, 4, 2]",256,256,68.4854290909091
512K_z2z_1024_sbrr,1024,"[16, 8, 8]",512,512,68.6418919090909
512K_z2z_1024_sbrr,1024,"[16, 8, 2, 2, 2]",256,256,68.68313645454545
512K_z2z_1024_sbrr,1024,"[16, 8, 4, 2]",1024,512,68.721931
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 2, 2]",256,128,68.73273645454546
512K_z2z_1024_sbrr,1024,"[16, 2, 2, 2, 2, 2, 2]",512,256,68.81052018181819
512K_z2z_1024_sbrr,1024,"[16, 8, 8]",256,256,68.84877018181818
512K_z2z_1024_sbrr,1024,"[16, 8, 2, 2, 2]",1024,512,68.94533927272727
512K_z2z_1024_sbrr,1024,"[16, 8, 2, 2, 2]",1024,1024,69.02311036363636
512K_z2z_1024_sbrr,1024,"[16, 8, 8]",1024,1024,69.36271336363636
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 4]",128,128,69.619949
512K_z2z_1024_sbrr,1024,"[8, 8, 2, 2, 2, 2]",256,128,69.65213545454546
512K_z2z_1024_sbrr,1024,"[16, 16, 4]",256,256,69.69132181818182
512K_z2z_1024_sbrr,1024,"[8, 4, 2, 2, 2, 2, 2]",128,128,69.77669818181819
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 2, 2, 2, 2]",128,128,69.78151
512K_z2z_1024_sbrr,1024,"[16, 8, 8]",512,256,69.8098600909091
512K_z2z_1024_sbrr,1024,"[16, 8, 8]",256,128,69.816969
512K_z2z_1024_sbrr,1024,"[8, 4, 4, 2, 2, 2]",256,128,69.88010463636364
512K_z2z_1024_sbrr,1024,"[16, 8, 2, 2, 2]",512,256,70.22293409090909
512K_z2z_1024_sbrr,1024,"[16, 8, 4, 2]",512,256,70.40348618181818
512K_z2z_1024_sbrr,1024,"[16, 16, 2, 2]",512,512,70.53618045454546
512K_z2z_1024_sbrr,1024,"[16, 8, 8]",1024,512,70.72874818181819
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 2, 2]",256,128,70.75125709090909
512K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",512,256,70.76534818181818
512K_z2z_1024_sbrr,1024,"[16, 16, 4]",512,512,71.04829563636365
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 4]",256,128,71.09078381818182
512K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",256,256,71.0966320909091
512K_z2z_1024_sbrr,1024,"[16, 16, 2, 2]",1024,1024,71.31006672727274
512K_z2z_1024_sbrr,1024,"[16, 8, 4, 2]",128,128,71.3332250909091
512K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",1024,1024,71.95460454545454
512K_z2z_1024_sbrr,1024,"[16, 16, 4]",512,256,72.18547209090909
512K_z2z_1024_sbrr,1024,"[16, 8, 4, 2]",256,128,72.19585572727273
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 2, 2]",128,128,72.22077281818181
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 2, 2, 2, 2]",256,128,72.23206745454546
512K_z2z_1024_sbrr,1024,"[4, 4, 2, 2, 2, 2, 2, 2]",128,128,72.35691309090909
512K_z2z_1024_sbrr,1024,"[16, 8, 2, 2, 2]",128,128,72.3609949090909
512K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",512,512,72.37722763636364
512K_z2z_1024_sbrr,1024,"[16, 16, 2, 2]",1024,512,72.48987218181819
512K_z2z_1024_sbrr,1024,"[16, 16, 4]",1024,1024,72.74282245454545
512K_z2z_1024_sbrr,1024,"[16, 16, 4]",128,128,72.852349
512K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",1024,512,72.97957354545454
512K_z2z_1024_sbrr,1024,"[8, 2, 2, 2, 2, 2, 2, 2]",128,128,73.11761736363636
