Stage,Length,Factors,WGS,TPT,Total_Time_ms
64K_z2z_256_sbrr,256,"[8, 8, 4]",512,32,172.7792259090909
64K_z2z_256_sbrr,256,"[4, 4, 4, 4]",256,64,173.01167636363638
64K_z2z_256_sbrr,256,"[8, 8, 4]",128,32,173.4011347272727
64K_z2z_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",512,128,174.4578677272727
64K_z2z_256_sbrr,256,"[4, 4, 4, 4]",1024,64,174.61015145454547
64K_z2z_256_sbrr,256,"[2, 2, 2, 2, 2, 2, 2, 2]",512,128,174.7672328181818
64K_z2z_256_sbrr,256,"[4, 4, 4, 4]",256,32,176.90091463636364
64K_z2z_256_sbrr,256,"[4, 4, 4, 2, 2]",512,64,177.02365027272728
64K_z2z_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",256,64,177.5156828181818
64K_z2z_256_sbrr,256,"[8, 4, 4, 2]",256,32,177.74931727272727
64K_z2z_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",512,128,177.97007536363637
64K_z2z_256_sbrr,256,"[4, 4, 4, 2, 2]",1024,64,178.15472945454547
64K_z2z_256_sbrr,256,"[8, 8, 2, 2]",256,32,178.226211
64K_z2z_256_sbrr,256,"[8, 4, 4, 2]",512,64,178.39767454545452
64K_z2z_256_sbrr,256,"[8, 4, 2, 2, 2]",256,64,179.33749918181817
64K_z2z_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",512,64,179.474554
64K_z2z_256_sbrr,256,"[4, 4, 4, 2, 2]",256,64,179.5579861818182
64K_z2z_256_sbrr,256,"[4, 4, 4, 4]",512,64,179.80515318181818
64K_z2z_256_sbrr,256,"[8, 8, 2, 2]",512,32,180.3374151818182
64K_z2z_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",128,128,180.9279482727273
64K_z2z_256_sbrr,256,"[8, 4, 4, 2]",1024,64,180.94539545454546
64K_z2z_256_sbrr,256,"[8, 8, 4]",256,64,181.409439
64K_z2z_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",1024,64,183.01890172727272
64K_z2z_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",512,64,183.16936636363639
64K_z2z_256_sbrr,256,"[4, 4, 4, 4]",64,64,183.34329245454546
64K_z2z_256_sbrr,256,"[8, 4, 4, 2]",512,32,183.9894479090909
64K_z2z_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",1024,128,184.23341436363637
64K_z2z_256_sbrr,256,"[4, 4, 4, 2, 2]",512,128,184.2823740909091
64K_z2z_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",256,128,184.29625836363638
64K_z2z_256_sbrr,256,"[4, 4, 4, 2, 2]",128,64,184.5711860909091
64K_z2z_256_sbrr,256,"[8, 4, 2, 2, 2]",128,32,184.737846
64K_z2z_256_sbrr,256,"[8, 2, 2, 2, 2, 2]",512,64,184.9069429090909
64K_z2z_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",256,128,184.9121649090909
64K_z2z_256_sbrr,256,"[8, 4, 2, 2, 2]",256,32,184.96129036363638
64K_z2z_256_sbrr,256,"[8, 8, 4]",1024,64,185.13171563636362
