Stage,Length,Factors,WGS,TPT,Total_Time_ms
256K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",1024,256,35.49994972727273
256K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",1024,128,52.03167518181818
256K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",512,128,52.383216363636365
256K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",256,256,54.248268
256K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",512,256,54.60419927272727
256K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",1024,1024,57.153499545454544
256K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",512,512,57.44689972727273
256K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",1024,512,58.08436672727272
256K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",128,128,67.22858518181819
256K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",256,128,71.7734090909091
256K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",256,64,83.85375
256K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",512,64,84.65580972727274
256K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",64,64,92.21774518181819
256K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",128,64,103.57398463636365
256K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",128,32,153.30388972727272
256K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",256,32,153.45088263636362
256K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",64,32,172.74145236363637
256K_z2z_512_sbrr,512,"[8, 4, 4, 2, 2]",128,128,485.53492427272727
256K_z2z_512_sbrr,512,"[4, 4, 4, 2, 2, 2]",256,128,487.56321572727273
256K_z2z_512_sbrr,512,"[8, 8, 2, 2, 2]",256,128,489.226865
256K_z2z_512_sbrr,512,"[8, 4, 4, 4]",256,32,489.55517672727274
256K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",64,16,490.08544809090904
256K_z2z_512_sbrr,512,"[8, 8, 4, 2]",256,32,491.1096801818182
256K_z2z_512_sbrr,512,"[4, 4, 2, 2, 2, 2, 2]",64,64,491.44517818181816
256K_z2z_512_sbrr,512,"[8, 2, 2, 2, 2, 2, 2]",64,64,493.4982158181818
256K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",128,16,495.0429958181818
256K_z2z_512_sbrr,512,"[4, 4, 4, 2, 2, 2]",512,256,497.7560211818182
256K_z2z_512_sbrr,512,"[16, 4, 4, 2]",128,64,503.59830636363637
256K_z2z_512_sbrr,512,"[4, 4, 4, 4, 2]",512,256,503.7563559090909
256K_z2z_512_sbrr,512,"[4, 4, 4, 4, 2]",512,128,503.96120090909096
256K_z2z_512_sbrr,512,"[8, 4, 4, 2, 2]",256,32,504.68437772727276
256K_z2z_512_sbrr,512,"[4, 2, 2, 2, 2, 2, 2, 2]",128,64,508.7795699090909
256K_z2z_512_sbrr,512,"[8, 8, 8]",256,64,508.9359216363636
256K_z2z_512_sbrr,512,"[4, 4, 4, 4, 2]",256,128,509.3961173636364
256K_z2z_512_sbrr,512,"[4, 4, 4, 4, 2]",256,32,510.79914845454545
256K_z2z_512_sbrr,512,"[4, 4, 4, 2, 2, 2]",128,128,511.73999990909095
256K_z2z_512_sbrr,512,"[8, 8, 8]",128,64,512.230081090909
256K_z2z_512_sbrr,512,"[8, 8, 8]",64,64,512.4601920909091
256K_z2z_512_sbrr,512,"[8, 4, 4, 4]",256,128,513.4490592727273
256K_z2z_512_sbrr,512,"[4, 2, 2, 2, 2, 2, 2, 2]",256,256,514.2452525454546
256K_z2z_512_sbrr,512,"[4, 4, 4, 4, 2]",128,128,514.71323
256K_z2z_512_sbrr,512,"[16, 4, 4, 2]",64,32,516.0670518181818
256K_z2z_512_sbrr,512,"[8, 4, 4, 4]",128,128,516.8631952727272
256K_z2z_512_sbrr,512,"[4, 4, 2, 2, 2, 2, 2]",128,128,517.2366473636364
256K_z2z_512_sbrr,512,"[8, 4, 4, 2, 2]",256,128,517.7535253636364
256K_z2z_512_sbrr,512,"[4, 4, 2, 2, 2, 2, 2]",256,128,518.759064909091
256K_z2z_512_sbrr,512,"[4, 2, 2, 2, 2, 2, 2, 2]",128,128,519.2915203636363
256K_z2z_512_sbrr,512,"[8, 8, 4, 2]",64,64,519.6485608181819
256K_z2z_512_sbrr,512,"[4, 4, 2, 2, 2, 2, 2]",256,256,520.1989532727273
256K_z2z_512_sbrr,512,"[8, 4, 4, 4]",128,64,521.4630098181818
256K_z2z_512_sbrr,512,"[8, 8, 8]",256,32,522.155045
256K_z2z_512_sbrr,512,"[4, 2, 2, 2, 2, 2, 2, 2]",512,256,522.2207602727273
256K_z2z_512_sbrr,512,"[8, 4, 2, 2, 2, 2]",256,128,522.3334034545454
256K_z2z_512_sbrr,512,"[8, 4, 2, 2, 2, 2]",128,128,522.3763828181818
256K_z2z_512_sbrr,512,"[4, 4, 4, 4, 2]",64,64,522.495635909091
256K_z2z_512_sbrr,512,"[4, 2, 2, 2, 2, 2, 2, 2]",256,128,522.7201809090909
256K_z2z_512_sbrr,512,"[4, 4, 4, 4, 2]",512,64,522.91164
256K_z2z_512_sbrr,512,"[8, 8, 4, 2]",128,64,523.4321341818182
256K_z2z_512_sbrr,512,"[4, 4, 4, 2, 2, 2]",128,32,524.0508254545455
256K_z2z_512_sbrr,512,"[8, 4, 4, 4]",64,64,524.142319
256K_z2z_512_sbrr,512,"[8, 4, 4, 2, 2]",64,64,524.2828014545454
