Mode,Stage,Length,Factors,WGS,TPT,GPU_Time_ms
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",64,32,19.977794
z2z,N=262144_Stage2_512_sbcc,512,"[8, 2, 2, 2, 2, 2, 2]",512,256,19.978705
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",512,64,19.990532
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",256,64,19.992626
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 2, 2, 2]",1024,256,20.01217
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 4, 2, 2]",512,256,20.016301
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 4, 2]",128,64,20.038303
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 4, 4]",128,64,20.044284
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 8]",256,128,20.06654
z2z,N=262144_Stage2_512_sbcc,512,"[16, 16, 2]",512,256,20.071835
z2z,N=262144_Stage2_512_sbcc,512,"[4, 4, 4, 4, 2]",512,256,20.094311
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",1024,128,20.104489
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",256,128,20.112109
z2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",512,64,20.11422
z2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",256,64,20.119819
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",512,128,20.123009
z2z,N=262144_Stage2_512_sbcc,512,"[16, 8, 4]",512,256,20.129631
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",256,128,20.133868
z2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 2, 2, 2]",256,128,20.140286
z2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",256,128,20.150761
z2z,N=262144_Stage2_512_sbcc,512,"[16, 4, 2, 2, 2]",128,64,20.154865
